"Date","Open","High","Low","Close","Volume"
"05/19/2025","201.645","206.62","200.06","201.12","106,246,100"
"05/12/2025","210.71","214.84","202.673","205.59","277,556,650"
"05/05/2025","186.51","194.69","183.85","193.06","179,241,220"
"04/28/2025","190.105","192.88","178.85","189.98","282,237,980"
"04/21/2025","169.6","189.94","165.285","188.99","248,380,990"
"04/14/2025","186.84","187.44","171.41","172.61","188,246,260"
"04/07/2025","162","192.65","161.38","184.87","432,738,150"
"03/31/2025","188.19","198.34","166","171","377,207,100"
"03/24/2025","200","206.21","191.881","192.72","185,653,390"
"03/17/2025","198.77","199.32","189.38","196.21","226,177,530"
"03/10/2025","195.6","201.52","190.85","197.95","239,400,510"
"03/03/2025","213.352","214.01","192.53","199.25","252,078,200"
"02/24/2025","217.45","219.97","204.16","212.28","232,786,480"
"02/17/2025","228.82","229.3","214.74","216.58","156,867,360"
"02/10/2025","230.545","233.92","227.23","228.68","149,796,500"
"02/03/2025","234.06","242.52","228.06","229.15","244,268,100"
"01/27/2025","226.21","241.77","225.86","237.68","185,290,350"
"01/20/2025","228.9","236.4","226.94","234.85","133,694,780"
"01/13/2025","218.06","226.51","216.2","225.94","150,392,970"
"01/06/2025","226.78","228.835","216.5","218.94","121,778,810"
"12/30/2024","220.06","225.36","218.19","224.19","114,613,090"
"12/23/2024","225.01","229.14","220.9","223.75","86,619,160"
"12/16/2024","230.23","233","218.73","224.92","244,979,590"
"12/09/2024","227.21","231.2","224.2002","227.46","170,377,170"
"12/02/2024","209.96","227.15","209.5101","227.03","205,802,030"
"11/25/2024","199.28","208.2","199","207.89","135,313,500"
"11/18/2024","204.15","205.3","195.75","197.12","190,810,210"
"11/11/2024","208.5","215.9","199.61","202.61","249,823,320"
"11/04/2024","196.45","212.25","194.3101","208.18","230,303,240"
"10/28/2024","189.565","200.5","185.23","197.93","276,163,160"
"10/21/2024","188.05","191.5201","183.69","187.83","137,236,530"
"10/14/2024","189.78","190.74","184.58","188.99","140,707,230"
"10/07/2024","182.95","189.9284","180.25","188.82","148,616,010"
"09/30/2024","187.14","188.49","180.875","186.51","172,712,680"
"09/23/2024","191.64","195.37","187.34","187.97","179,200,350"
"09/16/2024","185.29","191.84","183.36","191.6","226,527,070"
"09/09/2024","174.53","188.5","173.51","186.49","167,953,690"
"09/02/2024","177.55","179.875","171.16","171.39","149,763,810"
"08/26/2024","176.7","178.9","168.92","178.5","151,090,430"
"08/19/2024","177.64","182.385","175.24","177.04","154,181,700"
"08/12/2024","168.14","178.34","166.1101","177.06","181,342,200"
"08/05/2024","154.21","168.55","151.61","166.94","272,525,770"
"07/29/2024","183.84","190.6","160.55","167.9","326,330,060"
"07/22/2024","185","189.39","176.8","182.5","202,972,070"
"07/15/2024","194.56","196.62","180.11","183.13","216,879,540"
"07/08/2024","200.04","201.2","192.86","194.49","175,571,320"
"07/01/2024","193.49","200.55","192.82","200","158,248,840"
"06/24/2024","189.33","199.84","185.33","193.25","312,940,430"
"06/17/2024","182.52","189.275","181.22","189.08","189,919,600"
"06/10/2024","184.07","188.35","182.23","183.66","160,921,790"
"06/03/2024","177.7","186.2888","175.92","184.3","149,494,040"
"05/27/2024","179.93","184.08","173.87","176.44","150,089,420"
"05/20/2024","184.34","186.665","180.08","180.75","170,641,490"
"05/13/2024","188","188.31","182.73","184.7","211,066,810"
"05/06/2024","186.28","191.7","184.8","187.48","172,420,700"
"04/29/2024","182.75","187.87","174.8","186.21","336,824,390"
"04/22/2024","176.94","180.82","166.32","179.62","202,325,680"
"04/15/2024","187.425","188.69","173.44","174.63","199,027,860"
"04/08/2024","186.9","189.77","182.67","186.13","190,276,970"
"04/01/2024","180.79","186.27","178.3762","185.07","176,830,960"
"03/25/2024","178.01","181.7","177.24","180.38","130,798,580"
"03/18/2024","175.8","181.415","173.52","178.87","148,898,430"
"03/11/2024","174.31","179.53","171.47","174.42","211,721,210"
"03/04/2024","177.53","180.14","173.26","175.35","178,657,310"
"02/26/2024","175.7","178.725","172.27","178.22","189,477,330"
"02/19/2024","167.83","175.75","165.74","174.99","201,663,540"
"02/12/2024","174.8","175.39","165.75","169.51","248,174,040"
"02/05/2024","170.2","175","167.65","174.45","244,063,320"
"01/29/2024","159.34","172.5","154.81","171.81","334,522,910"
"01/22/2024","156.89","160.72","153.9","159.12","224,906,770"
"01/15/2024","153.53","155.76","149.91","155.34","165,839,880"
"01/08/2024","146.74","157.17","146.15","154.62","224,548,300"
"01/01/2024","151.54","152.38","144.05","145.24","197,957,880"
"12/25/2023","153.56","154.78","151.03","151.94","123,382,150"
"12/18/2023","150.56","155.63","150.05","153.42","221,826,050"
"12/11/2023","145.66","150.57","143.64","149.97","317,107,900"
"12/04/2023","145.25","148.57","142.81","147.42","229,054,410"
"11/27/2023","147.53","149.26","144.332","147.03","242,850,870"
"11/20/2023","145.13","147.74","141.5","146.74","181,283,140"
"11/13/2023","142.08","147.29","139.52","145.18","255,562,790"
"11/06/2023","138.76","143.65","138.36","143.56","228,630,930"
"10/30/2023","129.72","139.49","128.56","138.6","281,900,830"
"10/23/2023","124.63","130.02","118.35","127.74","395,043,650"
"10/16/2023","130.69","133.07","124.97","125.17","252,244,720"
"10/09/2023","126.22","134.48","124.76","129.79","223,047,470"
"10/02/2023","127.28","130.47","124.13","127.96","230,295,940"
"09/25/2023","129.36","131.78","123.04","127.12","302,586,190"
"09/18/2023","140.48","141.75","128.52","129.12","280,817,360"
"09/11/2023","138.75","145.86","138.64","140.39","326,841,070"
"09/04/2023","137.73","138.8519","133.16","138.23","169,287,090"
"08/28/2023","133.78","139.96","131.85","138.12","208,664,370"
"08/21/2023","133.74","136.775","130.58","133.26","204,972,320"
