"Date","Open","High","Low","Close","Volume"
"05/2025","990.1","1039.4699","983","1008.5","31,457,542"
"04/2025","942.42","999.9183","871.705","994.5","58,246,248"
"03/2025","1051.74","1066","881.56","945.78","55,506,371"
"02/2025","972.385","1078.235","968.94","1048.61","36,727,841"
"01/2025","915","991","902","979.88","38,426,686"
"12/2024","971.36","1008.25","912.54","916.27","44,508,096"
"11/2024","874.27","976.3","867.3401","971.88","39,059,694"
"10/2024","885.25","910","867.16","874.18","35,631,743"
"09/2024","896.68","923.8299","868.7","886.52","40,583,947"
"08/2024","818.55","918.928","793","892.38","39,311,365"
"07/2024","853.5","896.67","803.28","822","45,968,226"
"06/2024","811","873.9599","807.1324","849.99","34,577,403"
"05/2024","722.27","819.5","715.32","809.89","40,182,399"
"04/2024","731.76","741","697.27","722.9","38,060,531"
"03/2024","740.44","787.08","711.01","732.63","50,456,225"
"02/2024","694","752.56","691.5","743.89","37,074,354"
"01/2024","655.58","705.52","640.5101","694.88","44,189,099"
"12/2023","593.28","681.91","590.59","660.08","54,552,083"
"11/2023","555","599.94","549.65","592.74","34,718,789"
"10/2023","567.91","577.3","540.23","552.44","39,767,139"
"09/2023","553.07","572.18","540.18","564.96","33,942,850"
"08/2023","560.63","569.21","530.56","549.28","32,429,328"
"07/2023","537.25","571.16","524.63","560.67","36,897,870"
"06/2023","509.33","539.56","502.1","538.38","35,247,990"
"05/2023","499.15","514.795","476.75","511.56","43,434,943"
"04/2023","496.5","513.13","477.5","503.22","33,747,545"
"03/2023","481.1","499.8577","465.33","496.87","48,895,306"
"02/2023","508.31","530.05","483.78","484.18","31,624,150"
"01/2023","458","511.41","447.9","511.14","40,977,723"
"12/2022","519.14","519.14","450.75","456.5","54,990,841"
"11/2022","503.7","542.58","474.5","539.25","40,656,894"
"10/2022","474.5","512.82","449.03","501.5","44,909,971"
"09/2022","519.72","542.6","463.53","472.27","49,753,648"
"08/2022","541.42","564.75","520.26","522.1","42,249,056"
"07/2022","481.18","542.12","478","541.3","46,977,046"
"06/2022","469.38","491.13","443.2","479.28","54,379,810"
"05/2022","532.23","546.1391","406.5101","466.22","80,773,806"
"04/2022","577.38","612.27","529.7","531.72","49,745,473"
"03/2022","519.46","586.32","511.78","575.85","59,733,465"
"02/2022","505","534.242","482.98","519.25","41,865,612"
"01/2022","565.03","568.72","469.01","505.13","57,982,311"
"12/2021","543.1","571.4899","514.04","567.7","60,755,777"
"11/2021","494.15","560.78","487.2","539.38","42,990,025"
"10/2021","449.73","494.17","436.1667","491.54","35,622,174"
"09/2021","455.48","470.49","445.67","449.35","39,314,008"
"08/2021","430.62","460.62","425.48","455.49","35,696,577"
"07/2021","396.3","431.5","393.88","429.72","37,238,507"
"06/2021","379.925","400.47","375.5","395.67","39,480,208"
"05/2021","373.84","389.45","371.1141","378.27","43,493,326"
"04/2021","352.54","375.44","351.6314","372.09","41,460,623"
"03/2021","335.21","357.77","307","352.48","92,438,155"
"02/2021","351.21","361.6739","330.94","331","46,558,916"
"01/2021","377.43","381.55","351.88","352.43","49,704,177"
"12/2020","384.5","388.07","359.5","376.78","55,510,670"
"11/2020","362.22","393.15","360.59","391.77","43,402,967"
"10/2020","356.26","384.87","352.85","357.62","42,961,703"
"09/2020","345.71","363.67","331.2","355","58,597,417"
"08/2020","325.55","349.06","324.3","347.66","40,193,820"
"07/2020","302.5","331.49","300.75","325.53","46,033,657"
"06/2020","307.9","315.35","293.8394","303.21","62,710,501"
"05/2020","301.78","311.83","294.535","308.47","60,929,653"
"04/2020","282.36","322.63","280.9","303","74,418,133"
"03/2020","294.44","324.51","276.34","285.13","125,490,902"
"02/2020","307","325.26","271.28","281.14","43,445,721"
"01/2020","294.06","314.28","288.62","305.52","43,448,331"
"12/2019","299.75","300.2","289.1","293.92","45,923,867"
"11/2019","297.99","307.1","295.17","299.81","33,525,857"
"10/2019","288.04","304.88","281.6001","297.11","47,729,840"
"09/2019","292.57","307.34","284.4","288.11","47,741,002"
"08/2019","275.75","299.95","262.71","294.76","50,021,810"
"07/2019","266.43","284.31","261.67","275.63","32,130,356"
"06/2019","239.78","268.94","238.0846","264.26","34,371,344"
"05/2019","245.34","251.01","233.05","239.58","39,655,921"
"04/2019","243.07","248.7","240.31","245.53","32,090,289"
"03/2019","219.76","242.44","215.77","242.14","49,887,912"
"02/2019","214","219.6917","205.75","218.74","37,479,582"
"01/2019","200.5","215.555","199.85","214.63","44,399,790"
"12/2018","230.72","233.86","189.51","203.71","63,447,670"
"11/2018","228.18","240.88","217.45","231.28","46,913,873"
"10/2018","235.81","237.57","217","228.63","64,307,189"
"09/2018","233.14","245.16","231.51","234.88","41,314,892"
"08/2018","218.65","233.52","215.01","233.13","41,179,666"
"07/2018","208.42","224.62","206.0475","218.71","36,197,047"
"06/2018","195.45","212.46","195","208.98","44,658,973"
"05/2018","196.49","201.77","190.18","198.24","42,918,201"
"04/2018","186.91","199.04","180.94","197.16","43,553,699"
"03/2018","191.31","192.99","180.83","188.43","55,691,602"
"02/2018","193.41","195.52","175.79","190.9","43,104,178"
"01/2018","187.23","199.88","183.881","194.87","56,808,833"
"12/2017","183.26","195.35","181.13","186.12","60,197,937"
"11/2017","161.97","184.9","161.29","184.43","57,890,868"
"10/2017","164.92","167.29","154.11","161.08","88,689,838"
"09/2017","157.59","165.315","155.03","164.29","49,987,251"
"08/2017","159.1","162.35","150.06","156.74","78,650,385"
"07/2017","160.21","161.35","150","158.51","93,041,629"
"06/2017","180.81","182.715","156.56","159.93","110,550,272"
"05/2017","178.5","183.18","169.06","180.43","53,632,771"
"04/2017","167.74","178.27","166.11","177.52","36,618,376"
"03/2017","177.37","178.71","164.1","167.69","58,739,644"
"02/2017","163.84","177.87","161.81","177.18","48,164,029"
