"Date","Open","High","Low","Close","Volume"
"05/2025","190.63","214.84","183.85","200.99","787,545,850"
"04/2025","187.86","198.34","161.38","184.42","1,313,093,470"
"03/2025","213.352","214.01","184.4","190.26","966,857,190"
"02/2025","234.06","242.52","204.16","212.28","783,718,440"
"01/2025","222.03","241.77","216.2","237.68","652,629,100"
"12/2024","209.96","233","209.5101","219.39","760,918,850"
"11/2024","199","215.9","194.3101","207.89","905,938,120"
"10/2024","184.9","195.61","180.25","186.4","734,067,360"
"09/2024","177.55","195.37","171.16","186.33","765,125,320"
"08/2024","189.285","190.6","151.61","178.5","971,024,140"
"07/2024","193.49","201.2","176.8","186.98","868,117,790"
"06/2024","177.7","199.84","175.92","193.25","813,275,860"
"05/2024","181.635","191.7","173.87","176.44","892,339,080"
"04/2024","180.79","189.77","166.32","175","917,165,200"
"03/2024","176.75","181.7","171.47","180.38","702,056,680"
"02/2024","155.87","177.22","155.62","176.76","1,045,157,800"
"01/2024","151.54","161.73","144.05","155.2","954,015,020"
"12/2023","146","155.63","142.81","151.94","931,322,340"
"11/2023","133.96","149.26","133.71","146.09","1,026,201,810"
"10/2023","127.28","134.48","118.35","133.09","1,224,706,700"
"09/2023","139.455","145.86","123.04","127.12","1,120,523,250"
"08/2023","133.55","143.63","126.41","138.01","1,213,497,030"
"07/2023","130.82","136.65","125.915","133.68","1,058,772,750"
"06/2023","120.69","131.49","119.93","130.36","1,243,071,270"
"05/2023","104.95","122.92","101.15","120.58","1,433,039,170"
"04/2023","102.3","110.86","97.705","105.45","1,224,234,600"
"03/2023","93.87","103.49","88.12","103.29","1,349,467,010"
"02/2023","102.53","114","92.3186","94.23","1,364,198,220"
"01/2023","85.46","103.485","81.43","103.13","1,523,798,390"
"12/2022","96.99","97.23","81.69","84","1,549,193,150"
"11/2022","103.99","104.58","85.87","96.54","2,035,252,340"
"10/2022","113.58","123","97.66","102.44","1,459,511,640"
"09/2022","126","136.49","112.06","113","1,210,456,390"
"08/2022","134.96","146.57","126.74","126.77","1,170,523,500"
"07/2022","106.29","137.65","105.8469","134.95","1,338,005,770"
"06/2022","122.256","128.99","101.43","106.21","1,767,977,690"
"05/2022","122.401","126.2205","101.26","120.2095","2,258,475,260"
"04/2022","164.1495","168.3945","121.625","124.2815","1,465,136,060"
"03/2022","152.7325","170.8315","133.5725","162.9975","1,628,590,680"
"02/2022","150","163.8345","138.333","153.563","1,690,134,280"
"01/2022","167.55","171.4","135.352","149.5735","1,525,571,300"
"12/2021","177.25","177.994","165.195","166.717","1,288,301,540"
"11/2021","168.09","188.1072","164.1775","175.3535","1,516,333,620"
"10/2021","164.4505","173.95","158.8125","168.6215","1,273,614,260"
"09/2021","174.8198","177.4995","163.6995","164.252","1,250,802,660"
"08/2021","167.655","173.629","158.788","173.5395","1,257,339,480"
"07/2021","171.7305","188.6539","165.349","166.3795","1,674,726,940"
"06/2021","162.1747","176.243","158.61","172.008","1,340,222,740"
"05/2021","174.2365","174.3322","156.3685","161.1535","1,503,065,960"
"04/2021","155.897","177.7","155.7775","173.371","1,536,871,420"
"03/2021","156.3945","159.1","144.05","154.704","1,564,099,820"
"02/2021","162.118","171.7","151.835","154.6465","1,442,356,800"
"01/2021","163.5","168.1945","154.3","160.31","1,430,476,260"
"12/2020","159.425","167.5325","153.641","162.8465","1,551,607,900"
"11/2020","153.087","168.34","147.506","158.402","1,816,635,920"
"10/2020","160.4","174.812","150.95","151.8075","2,325,042,300"
"09/2020","174.479","177.6125","143.55","157.4365","2,319,399,340"
"08/2020","159.0255","174.75","153.65","172.548","1,670,704,520"
"07/2020","137.8995","167.2145","137.7","158.234","2,550,271,440"
"06/2020","122.4","139.8","121.8565","137.941","1,756,913,220"
"05/2020","116.84","126.2725","112.819","122.1185","1,652,417,660"
"04/2020","96.6485","123.75","94.4575","123.7","2,492,636,300"
"03/2020","95.3245","99.8165","81.3016","97.486","3,276,898,640"
"02/2020","100.53","109.2975","90.5564","94.1875","1,851,119,540"
"01/2020","93.75","102.786","90.767","100.436","1,696,785,040"
"12/2019","90.22","95.07","86.75","92.392","1,370,440,180"
"11/2019","89.4005","91.2345","86.1355","90.04","1,041,209,440"
"10/2019","87.3","89.9425","84.253","88.833","1,443,325,020"
"09/2019","88.5","92.683","85.461","86.7955","1,240,075,980"
"08/2019","93.586","94.896","87.1755","88.8145","1,599,790,600"
"07/2019","96.149","101.79","92.472","93.339","1,463,816,940"
"06/2019","88.0005","96.76","83.6","94.6815","1,494,931,780"
"05/2019","96.6545","98.22","88.6352","88.7535","1,964,287,200"
"04/2019","90.0055","97.8167","89.9365","96.326","1,606,945,180"
"03/2019","82.7565","91.1875","79.3285","89.0375","2,000,941,200"
"02/2019","81.944","83.653","78.3378","81.9915","1,613,248,500"
"01/2019","73.26","86.8205","73.0465","85.9365","2,654,767,300"
"12/2018","88.473","88.917","65.35","75.0985","3,076,118,540"
"11/2018","81.1765","89.2","71","84.5085","2,773,387,520"
"10/2018","101.0995","101.6595","73.818","79.9005","3,637,687,100"
"09/2018","101.325","102.525","93.25","100.15","1,870,886,020"
"08/2018","89.2","101.2785","88.801","100.6355","1,917,208,960"
"07/2018","84.135","94.0025","83.903","88.872","1,932,021,020"
"06/2018","81.8515","88.155","81.7545","84.99","1,706,837,740"
"05/2018","78.161","81.75","77.301","81.481","1,417,971,860"
"04/2018","70.881","81.905","67.644","78.3065","2,568,044,620"
"03/2018","75.68","80.877","68.26","72.367","2,588,911,880"
"02/2018","72.25","76.435","63.2965","75.6225","2,738,572,500"
"01/2018","58.6","73.629","58.5255","72.5445","1,916,454,780"
"12/2017","58.6025","59.739","56.237","58.4735","1,146,140,200"
"11/2017","55.27","60.6705","54.3435","58.8375","1,537,373,160"
"10/2017","48.2","56.1395","47.5185","55.264","1,658,786,880"
"09/2017","49.21","50","46.5875","48.0675","1,178,955,880"
"08/2017","49.8055","50.32","46.8165","49.03","1,540,748,420"
"07/2017","48.6395","54.1655","47.55","49.389","1,567,250,720"
"06/2017","49.9295","50.85","46.35","48.4","1,915,720,620"
"05/2017","46.39","50.06","46.39","49.731","1,520,432,700"
"04/2017","44.4","47.4795","44.2245","46.2495","1,466,512,580"
"03/2017","42.6525","44.5175","41.675","44.327","1,212,613,380"
"02/2017","41.4605","43.043","40.15","42.252","1,424,191,600"
"01/2017","37.896","42.192","37.385","41.174","1,408,844,880"
"12/2016","37.6205","39.123","36.835","37.4935","1,469,747,920"
"11/2016","39.95","40.042","35.505","37.5285","2,194,850,720"
"10/2016","41.8","42.3605","38.7305","39.491","1,533,966,840"
"09/2016","38.545","41.9975","37.8","41.8655","1,345,134,320"
"08/2016","37.9935","38.749","37.5175","38.458","1,000,278,580"
"07/2016","35.866","38.3","35.827","37.9405","1,360,761,900"
"06/2016","36.045","36.575","34.1058","35.781","1,487,427,640"
"05/2016","33.196","36.2115","32.8","36.1395","1,808,707,060"
"04/2016","29.5245","33.499","29.2625","32.9795","1,561,672,700"
"03/2016","27.8145","30.162","26.929","29.682","1,874,881,480"
"02/2016","28.9075","29.09","23.7","27.626","2,478,939,360"
