"Date","Open","High","Low","Close","Volume"
"05/2025","844","850.93","709","713.71","91,583,138"
"04/2025","818.6","902.4999","677.0912","898.95","84,268,326"
"03/2025","912.8","935.625","789.4","825.91","73,353,128"
"02/2025","804.27","925.5","801.75","920.63","69,234,108"
"01/2025","780.59","827.35","725.01","811.08","77,099,645"
"12/2024","798.11","846.4629","752.395","772","67,173,737"
"11/2024","828","847.27","711.4001","795.35","99,598,964"
"10/2024","888.83","937","769","829.74","68,790,460"
"09/2024","957.77","969.6499","858.81","885.94","58,011,984"
"08/2024","833.62","972.53","747.55","960.02","79,125,475"
"07/2024","911.77","966.1","775.81","804.27","72,478,160"
"06/2024","823.83","915.54","817.62","905.38","50,498,777"
"05/2024","774.755","826.21","730.34","820.34","58,807,658"
"04/2024","776","795.4975","718.3","781.1","57,487,465"
"03/2024","769.02","800.78","727.62","777.96","58,751,790"
"02/2024","647.33","794.47","643.17","753.68","76,681,980"
"01/2024","580.41","663.5499","579.05","645.61","61,985,165"
"12/2023","591.7","601.97","561.65","582.92","56,875,794"
"11/2023","555","625.87","551.26","591.04","75,614,250"
"10/2023","536.01","629.97","516.57","553.93","71,890,997"
"09/2023","556.32","601.84","532.2","537.13","58,019,308"
"08/2023","455.35","557.75","446.89","554.2","71,152,571"
"07/2023","466.26","467.6","434.34","454.55","46,835,927"
"06/2023","430.27","469.87","428.13","468.98","56,778,357"
"05/2023","397.26","454.95","392.255","429.46","75,451,195"
"04/2023","343.24","404.3131","342.3","395.86","56,104,107"
"03/2023","310","343.65","309.2","343.42","80,115,766"
"02/2023","342.79","353.815","309.64","311.22","66,674,222"
"01/2023","366.26","384.44","302.14","344.15","50,722,858"
"12/2022","374.79","375.25","354.6101","365.84","53,002,346"
"11/2022","345.83","372.35","340.12","371.08","69,750,948"
"10/2022","325.99","363.9199","317.05","362.09","55,842,424"
"09/2022","301","341.7","296.32","323.35","68,983,763"
"08/2022","327.51","330.43","296.53","301.23","62,150,168"
"07/2022","323.88","335.33","315.51","329.69","42,681,800"
"06/2022","313.44","330.85","283.11","324.23","68,053,614"
"05/2022","291.23","324.08","283","313.44","65,900,162"
"04/2022","286.15","314","276.83","292.13","58,094,510"
"03/2022","247.56","295.33","245.44","286.37","70,544,517"
"02/2022","247.05","252.9","231.87","249.95","51,894,388"
"01/2022","274.41","274.41","232.68","245.39","59,953,968"
"12/2021","249.44","283.905","239.47","276.22","74,513,328"
"11/2021","255.11","271.11","246.48","248.04","61,380,944"
"10/2021","231","256.75","224.22","254.76","53,323,088"
"09/2021","258.54","260.99","220.2","231.05","61,195,782"
"08/2021","245.73","275.87","243.5","258.29","54,226,157"
"07/2021","229.51","248.4","228.66","243.5","50,266,981"
"06/2021","200.32","239.37","196.68","229.52","95,318,198"
"05/2021","182.99","203.615","182.92","199.74","59,382,526"
"04/2021","186.82","193.5","178.5779","182.77","63,359,486"
"03/2021","205.78","212.16","179.82","186.82","96,146,250"
"02/2021","209.46","209.89","195.64","204.89","62,934,152"
"01/2021","169.02","218","161.78","207.97","114,171,567"
"12/2020","146.69","173.895","143.13","168.84","81,339,645"
"11/2020","132.54","151.98","129.99","145.65","90,583,319"
"10/2020","148.33","157.15","129.21","130.46","87,153,833"
"09/2020","148.61","154.5","145.06","148.02","80,103,222"
"08/2020","152.8","157.49","146.98","148.39","52,183,936"
"07/2020","164.32","170.75","148.74","150.29","61,973,028"
"06/2020","154.47","167.43","139.68","164.18","98,010,050"
"05/2020","153.72","162.37","143.62","152.95","65,394,523"
"04/2020","134","164.9","132.98","154.64","79,572,016"
"03/2020","127.74","144","117.06","138.72","150,282,011"
"02/2020","140.53","147.87","121.51","126.13","73,122,851"
"01/2020","131.77","143.72","130.23","139.64","76,363,712"
"12/2019","117.52","137","115.92","131.43","71,543,046"
"11/2019","114.07","118.46","110.51","117.35","60,564,021"
"10/2019","111.94","114.665","101.36","113.95","74,280,902"
"09/2019","112.54","117.23","106.4","111.83","71,492,305"
"08/2019","109.02","116.14","107.44","112.97","75,994,578"
"07/2019","111.31","115.465","105.147","108.95","85,980,388"
