"Date","Open","High","Low","Close","Volume"
"05/2025","165.27","167.98","165.27","167.76","11,416,454"
"05/2025","164.825","166.2196","163.48","165.86","5,349,868"
"05/2025","164.44","166.2","164.02","165.03","6,245,571"
"05/2025","164.82","166.365","164.62","165.43","6,424,153"
"05/2025","164.61","166","164.6","165.64","5,576,561"
"05/2025","163.47","165.15","163.41","164.77","8,120,219"
"05/2025","162.65","163.43","161.85","163.28","7,100,784"
"05/2025","159.59","162.908","158.7","162.41","8,727,316"
"05/2025","158.12","159.16","157.57","158.02","5,988,905"
"05/2025","160.02","160.72","157.36","158.73","7,780,827"
"05/2025","157.425","161.05","156.69","160.9","7,378,380"
"05/2025","158.02","159.1254","157.41","157.66","6,453,232"
"05/2025","158.38","160","158.01","158.65","7,230,806"
"05/2025","159.02","160.05","158.54","159.29","6,430,156"
"05/2025","158.04","159.71","157.6459","159.25","7,703,843"
"05/2025","160.89","160.91","158.02","158.83","7,576,219"
"05/2025","160.925","161.81","159.9","160.52","5,750,165"
"05/2025","160.655","161.345","159.05","159.98","6,792,815"
"04/2025","162.45","163.16","159.95","162.57","12,475,540"
"04/2025","161.285","162.39","159.2","162.26","8,266,154"
"04/2025","161.04","162.56","160.39","161.85","8,126,981"
"04/2025","159.88","161.8","157.77","161.02","12,893,200"
"04/2025","160.5","160.955","156.58","159.53","20,077,670"
"04/2025","166.4","166.61","163.11","165.73","9,309,164"
"04/2025","165.86","168.77","164.535","167.88","7,907,421"
"04/2025","169.89","169.95","164.28","165.75","8,062,360"
"04/2025","167.53","171.65","167.35","170.63","7,227,061"
"04/2025","169.285","169.68","165.79","166.39","5,897,634"
"04/2025","169.14","170.16","168.28","168.47","8,764,978"
"04/2025","167.04","170.11","165.78","169.13","9,877,411"
"04/2025","163.37","168.015","162.62","166.91","8,603,200"
"04/2025","162.9","165.07","160.75","163.56","10,581,570"
"04/2025","157.36","164.68","156.69","162.32","10,670,210"
"04/2025","162.31","163.28","156.71","158.39","11,541,110"
"04/2025","163.66","164.695","159.19","160.23","15,708,010"
"04/2025","171.765","173.6","163.47","163.75","13,454,210"
"04/2025","174.23","174.8","170.73","172.39","9,393,270"
"04/2025","170.07","170.88","168.31","169.5","6,274,548"
"04/2025","170.57","171.05","169.06","170.56","7,021,507"
"03/2025","168.1015","171.14","168.1015","170.42","11,520,450"
"03/2025","169.38","169.71","167.62","168.03","5,479,306"
"03/2025","167.87","169.03","166.62","168.71","6,211,735"
"03/2025","163.35","166.82","162.99","166.58","7,757,259"
"03/2025","165.3","165.37","162.195","162.85","8,366,736"
"03/2025","166.43","166.8699","165.36","165.65","6,102,109"
"03/2025","167.14","168.14","164.12","166.69","16,027,250"
"03/2025","168.89","169.205","166.03","167.55","8,789,167"
"03/2025","167.87","168.745","167.11","168.57","7,569,165"
"03/2025","170.07","170.26","167.58","167.71","6,100,242"
"03/2025","168.37","171.09","168.13","169.76","9,931,678"
"03/2025","167.79","168.59","166.62","167.97","6,790,624"
"03/2025","167.7","169.29","167.2779","168.59","6,609,126"
"03/2025","169.7","171.83","167.77","168.37","10,159,140"
