"Date","Open","High","Low","Close","Volume"
"05/2025","355.41","360","354.48","359.3","6,239,541"
"05/2025","353.745","356","352.22","353.54","5,346,050"
"05/2025","357.755","360","356.56","357.97","4,936,568"
"05/2025","363.72","365.989","358.08","358.3","6,125,536"
"05/2025","367.78","368.25","364.69","366.84","5,281,778"
"05/2025","363.02","369.1499","362.321","367.9","5,081,519"
"05/2025","362.95","366.19","360.89","365.12","5,838,075"
"05/2025","356.89","363.73","356.675","362.3","5,826,126"
"05/2025","356.67","358.41","355.2128","356.46","6,208,010"
"05/2025","355.52","358.87","354.58","356.14","5,406,243"
"05/2025","359.14","361.89","351.13","355.85","7,985,428"
"05/2025","351.83","353.8","350.67","352.54","3,086,734"
"05/2025","352","355.33","350.945","351.27","4,156,386"
"05/2025","348.7","351.15","347.21","349.85","5,454,135"
"05/2025","346.4","349.65","345.7579","347.7","3,438,464"
"05/2025","347","351.05","346.1208","348.64","3,865,342"
"05/2025","347.22","350.09","346.12","347.6","6,113,683"
"05/2025","345.58","345.72","340.12","342.45","5,849,940"
"04/2025","334.44","346.52","333.24","345.5","9,526,712"
"04/2025","338.5","342.27","336.46","341.52","5,519,533"
"04/2025","336.775","339.335","335.02","337.51","5,422,903"
"04/2025","334.76","336.365","332.17","335.17","4,452,757"
"04/2025","333.28","336.77","331.25","335.71","8,055,174"
"04/2025","337.24","341.25","333.2","334.37","8,906,235"
"04/2025","323.855","332.56","322.39","331.4","5,435,531"
"04/2025","329","329.15","316.6542","320.1","6,362,425"
"04/2025","331.07","334.3199","328.44","329.61","5,655,943"
"04/2025","335","337.2243","328.86","331.33","5,850,819"
"04/2025","336.72","339.39","335","335.81","4,386,214"
"04/2025","336.41","339.6099","333.14","335.18","5,011,779"
"04/2025","324.43","336.98","322.54","333.4","6,804,507"
"04/2025","328.02","330.16","313.27","324.61","8,709,762"
"04/2025","305.635","334.03","305.635","332.43","11,361,800"
"04/2025","322.24","326.28","303.93","308.27","9,569,298"
"04/2025","302.07","322.18","299","312.32","12,163,440"
"04/2025","330","334.65","312.12","313.13","13,201,740"
"04/2025","333.9","344.735","331","339.39","8,792,873"
"04/2025","343.44","348.2","343.05","346.33","5,682,521"
"04/2025","350.44","350.45","342.57","346.35","7,473,329"
"03/2025","339.35","351.86","334.49","350.46","9,950,762"
"03/2025","349.19","351.615","341.605","342.85","5,687,616"
"03/2025","344","350.84","343.32","349.86","7,254,807"
"03/2025","345.99","347.38","343","344.18","6,187,574"
"03/2025","344.56","345.53","340.67","344.62","3,931,161"
"03/2025","338.65","345.22","337.6509","343.87","5,675,111"
"03/2025","337.37","339.43","335.52","335.66","17,279,670"
"03/2025","339","342.24","337.66","339.5","5,432,675"
"03/2025","336.8","341.0313","334.5","339.87","5,615,204"
"03/2025","335.29","335.8","332.3","334.77","7,778,631"
"03/2025","330.03","336.11","329.76","334.55","6,149,652"
"03/2025","327.21","332.7657","326.3808","331.8","7,810,970"
"03/2025","330.99","336.2","327.7","328.55","7,915,323"
"03/2025","335.97","336.16","329.11","332.84","6,295,394"
"03/2025","338.41","339.61","329.575","332.14","9,776,072"
"03/2025","339.94","345.01","337.6411","341.48","8,204,296"
"03/2025","340.87","346.39","339.14","345.32","6,358,901"
"03/2025","345.96","348.87","340.3878","344.16","8,611,119"
"03/2025","350.83","354.1065","348.935","352.68","8,244,242"
"03/2025","360.11","360.27","350.4","352.23","8,955,804"
"03/2025","363","366.54","359.5401","361.82","9,099,607"
"02/2025","354.71","364","353.7109","362.71","15,857,340"
"02/2025","351.9","360.31","351.675","355.74","7,298,114"
"02/2025","350","351.83","348.99","350.63","5,960,603"
"02/2025","351.37","352.5867","346","352.09","6,191,949"
"02/2025","348.755","350.8","347.355","349.86","5,055,927"
"02/2025","350.49","353.32","347.48","348.53","6,924,127"
"02/2025","355.23","356.13","349.06","350.49","5,697,023"
"02/2025","356.015","357.15","354.18","355.23","4,152,269"
"02/2025","353.69","356.74","352.4","356.73","5,822,034"
"02/2025","354.43","355.4299","353.22","353.81","5,720,285"
"02/2025","353.12","356.08","350.73","355.63","4,279,581"
"02/2025","349.16","351.83","347.49","351.49","6,760,066"
"02/2025","348.3","352.12","346.25","350.72","5,154,783"
"02/2025","348.7","351.9","347.7","351.23","6,067,002"
"02/2025","348","350.7485","347.21","348.02","4,261,612"
"02/2025","349.78","350.65","346.6001","347.48","4,294,541"
"02/2025","346","349.4768","345.25","349.44","4,939,090"
"02/2025","344.6","346.01","342.54","345.15","5,532,573"
"02/2025","340","346","339.24","345.82","8,004,548"
"01/2025","346.47","351.2499","341.71","341.8","8,628,071"
"01/2025","339.51","344.44","339","343.05","8,081,262"
"01/2025","334.5","337.11","334.5","335.88","5,087,286"
"01/2025","334.67","337.83","332.89","334.48","5,999,623"
"01/2025","330","335.49","328.05","334.54","6,636,541"
"01/2025","328.02","331.085","327.805","330.2","4,327,755"
"01/2025","323.76","328.51","323.57","328.21","5,297,085"
"01/2025","324.77","325.74","322.38","323.56","5,026,478"
"01/2025","320.31","324.58","320","323.63","5,653,341"
"01/2025","317.5","320.59","316.71","319.62","5,805,810"
"01/2025","315.75","319.18","315.75","317.25","4,606,670"
"01/2025","313.68","317.1876","313.13","316.28","5,222,278"
"01/2025","308.75","310.16","307.52","309.09","5,107,901"
"01/2025","305","306.92","303.84","306.92","9,568,727"
"01/2025","311.2","311.85","305.99","307.71","6,660,255"
"01/2025","311","314.04","310.2146","312.6","5,161,601"
"01/2025","312.89","315.19","311.32","311.67","4,958,641"
"01/2025","315.01","315.39","312.07","313.04","6,567,336"
"01/2025","314.18","315.92","312.01","314.91","4,271,845"
"01/2025","317.78","319.68","312.41","314.4","5,373,059"
"12/2024","316.12","317.66","315.1901","316.04","3,963,824"
"12/2024","314.68","317.11","313.23","315.31","3,478,763"
"12/2024","319.27","321.5","317.56","318.66","3,489,200"
"12/2024","319.77","321.45","319.46","320.91","2,856,059"
"12/2024","318.17","321.54","317.28","320.65","2,684,103"
"12/2024","315.65","317.97","313.35","317.22","7,984,610"
"12/2024","313.57","320","312.28","317.71","24,387,020"
"12/2024","311.83","316.87","311.23","314.88","8,317,119"
"12/2024","318.5","321.615","309.56","309.78","10,479,180"
"12/2024","315.82","318.84","315.14","318.3","8,844,349"
"12/2024","314.74","317.56","314.1","315.89","6,562,510"
"12/2024","315.83","316.95","314.34","314.74","4,682,543"
"12/2024","314.82","315.55","313.43","314.23","3,218,540"
"12/2024","313.04","315.55","311.215","313.79","4,321,824"
"12/2024","307.36","312.98","306.64","312.38","4,539,827"
"12/2024","311.83","313.01","307.64","308.3","5,785,297"
"12/2024","308.87","312.56","308.8","311.01","4,302,851"
"12/2024","309.98","311.09","308.83","309.08","5,200,052"
"12/2024","312.42","312.85","308.8","309.9","5,981,759"
"12/2024","317.1","317.32","312.77","313.01","5,009,907"
"12/2024","316.9","317.42","313.71","316.65","5,597,635"
"11/2024","314.29","316.25","313.7","315.08","3,853,281"
"11/2024","310.77","316.37","309.49","314.7","5,204,318"
"11/2024","314.2","314.5","311.54","311.82","7,071,592"
"11/2024","311.86","313.66","309.86","313.19","14,189,300"
"11/2024","307.97","311.59","307.9","309.92","5,919,518"
"11/2024","307.3","310.92","306.65","309.9","5,757,406"
"11/2024","311.86","312.29","306.22","307.39","6,350,282"
"11/2024","310","312.23","308.51","311.85","4,885,860"
"11/2024","309.48","312.41","308.7","312.16","4,585,944"
"11/2024","307.56","310.72","306.66","309.64","5,106,284"
"11/2024","309.3","311.29","307.83","308.25","4,415,788"
"11/2024","309.49","310.9485","307.84","309.48","4,046,544"
"11/2024","309.04","310.55","308.11","309.85","4,616,616"
"11/2024","310.09","312.44","309.3","310.92","4,674,088"
"11/2024","306.89","311.15","305.69","307.87","6,240,616"
"11/2024","307.5","307.63","304.42","305.8","6,237,348"
"11/2024","306.32","309","302.8201","307.4","10,320,480"
"11/2024","291.71","294.78","291.58","293.29","3,753,721"
"11/2024","291.55","293.15","290.76","291.85","4,281,721"
"11/2024","288.49","292.67","287.19","290.74","5,471,088"
"10/2024","292.09","296.34","289.621","289.85","7,950,228"
"10/2024","292.34","295.78","288.33","290.16","9,606,784"
"10/2024","284.27","285.7","281.35","281.88","7,534,759"
"10/2024","282.04","284.64","281.53","284.19","4,306,240"
"10/2024","284","285.09","280.7801","281.73","4,464,561"
"10/2024","282.39","283.62","281.73","283.22","4,680,151"
"10/2024","286.04","286.055","283.53","283.76","5,249,255"
"10/2024","285.05","286.53","283.53","284.79","5,736,450"
"10/2024","289.6","290.44","286.33","286.85","6,313,148"
"10/2024","289.92","291.04","288.08","290.62","5,350,923"
"10/2024","288.57","290.93","287.61","290.39","8,815,841"
"10/2024","278.62","287.6","278.35","287.52","9,442,687"
"10/2024","281","282.64","278.83","279.29","5,807,021"
"10/2024","279.08","281.3699","277.99","280.68","3,996,620"
"10/2024","276.04","278.8","275.37","277.84","4,746,446"
"10/2024","276.78","277.67","275.35","277.47","4,063,891"
"10/2024","275","277.49","274.42","276.93","4,115,807"
"10/2024","274.71","276.1","274.01","274.96","4,370,915"
"10/2024","277.6","277.615","273.24","273.79","4,339,337"
"10/2024","277.35","278.44","275.1","277.93","4,260,920"
"10/2024","276.67","277.69","275.84","276.86","3,036,651"
"10/2024","276.57","277.64","275.37","277","4,741,561"
"10/2024","276.97","279.06","274.36","277.6","5,781,564"
"09/2024","275","275.69","273.2","274.95","5,971,352"
"09/2024","273.16","277.98","272.78","275.17","6,509,578"
"09/2024","270.5","273.24","270","271.69","9,552,507"
"09/2024","274.19","274.25","268.23","269.63","11,671,270"
"09/2024","280.18","281","272.71","272.78","13,690,160"
"09/2024","284.9","288.88","284.62","288.63","6,505,632"
"09/2024","285.5","287","283.25","284.77","27,810,930"
"09/2024","291.09","291.4775","282.87","285.24","10,382,070"
"09/2024","291.84","292.02","288.13","288.48","5,889,996"
"09/2024","290.9","293.07","290.085","291.56","5,135,913"
"09/2024","288.05","290.9","287.74","290.48","4,458,865"
"09/2024","286.49","288.74","285.55","287.35","4,987,643"
"09/2024","284","286","281.47","285.37","4,161,170"
"09/2024","285.02","285.17","278.3","283.96","6,281,968"
"09/2024","285.93","286.3981","283.57","285.34","5,314,413"
"09/2024","282.09","286.97","281.65","285.61","10,933,860"
"09/2024","277.77","280.28","277.43","279.37","7,187,805"
"09/2024","281","281.5","277.41","278.62","6,447,539"
"09/2024","278.71","281.645","278.7","280.49","6,107,450"
"09/2024","276.37","282.09","276.37","278.54","7,278,250"
"08/2024","275","276.99","274.26","276.37","6,296,089"
"08/2024","270.98","275.99","270.45","274.32","5,565,085"
"08/2024","271.16","271.98","267.67","269.19","5,455,098"
"08/2024","268.52","270.95","267.89","270.72","6,594,067"
"08/2024","267.72","270.37","267.67","268.21","4,612,181"
"08/2024","268.7","269.21","265.31","267.44","3,697,448"
"08/2024","268.94","269.5","266.57","267.94","4,425,444"
"08/2024","268.56","269.27","267.39","268.2","6,639,748"
"08/2024","267","268.04","265.78","268.04","6,803,575"
"08/2024","267.42","268.3106","265.23","266.47","6,555,945"
"08/2024","266.85","268.44","265.39","267.38","5,111,080"
"08/2024","262.84","267.39","262.84","266.8","7,397,780"
"08/2024","260.87","261.5","258.74","261.14","8,552,272"
"08/2024","260.13","261.68","259.27","260.13","12,005,750"
"08/2024","260.5","261.6","259.24","259.89","26,769,520"
"08/2024","259.17","261.52","259.01","259.76","7,228,127"
"08/2024","258.13","260.445","257.92","259.83","8,223,667"
"08/2024","259.66","262.03","256.31","256.52","12,908,580"
"08/2024","256.5","260.49","255.77","258.26","21,586,820"
"08/2024","261.45","262.92","254.51","256.44","9,631,322"
"08/2024","263.83","267.96","262.88","266.58","7,017,857"
"08/2024","266.33","267","264.18","265.93","7,269,671"
"07/2024","264.54","266.36","264.25","265.67","7,642,547"
"07/2024","263.23","264.3","261.01","263.1","5,941,775"
"07/2024","260.32","262.705","258.58","261.6","6,068,109"
"07/2024","255.59","261.2","255.59","259.46","7,062,213"
"07/2024","255.39","258.22","252.7","253.74","8,573,282"
"07/2024","256.07","257.2","253.13","254.17","13,065,890"
"07/2024","267.53","267.7","263.86","264.79","8,109,209"
"07/2024","267.23","268.4","265.02","267.71","5,313,610"
"07/2024","270.32","270.95","264.31","265.46","6,839,933"
"07/2024","272.29","273.62","268.555","269.15","5,550,804"
"07/2024","268.44","272.91","268.24","272.7","5,324,662"
"07/2024","268.52","270.21","267.37","269.25","7,869,921"
"07/2024","265.67","269.24","265.25","268.45","6,845,211"
"07/2024","264.34","267.395","263.66","265.74","6,627,767"
"07/2024","262.13","263.63","260.76","262.55","8,805,194"
"07/2024","259.12","263.48","258.51","263","9,635,466"
"07/2024","267","267.55","263.92","265.44","6,432,808"
"07/2024","270.25","271.44","265.97","266.4","8,561,140"
"07/2024","269","270.545","268.24","270.36","7,986,435"
"07/2024","269.07","269.75","268.15","268.99","5,017,760"
"07/2024","263.24","268.23","262.4","268.23","8,697,811"
"07/2024","263.79","265.77","261.3","263.24","7,955,766"
"06/2024","267.2","268.6","261.25","262.47","13,957,270"
"06/2024","268.51","270.59","266.5","266.59","10,529,080"
"06/2024","272.91","274.46","271.75","273.6","12,171,990"
"06/2024","276.85","277.9291","273.53","273.53","19,897,650"
"06/2024","275.32","280.39","275.27","276.3","24,149,630"
"06/2024","277.17","277.54","274.58","275.22","14,790,150"
"06/2024","273.19","278.04","273.1","276.82","10,164,360"
"06/2024","271.3","273.9","271.3","273.62","6,707,460"
"06/2024","269","271.83","269","271.17","9,258,209"
"06/2024","270.1","271.55","269.27","270.66","8,537,260"
"06/2024","270.32","271.855","269.316","271.19","7,361,158"
"06/2024","276.77","277.6","269.9","270.32","7,536,636"
"06/2024","274.54","274.86","272.22","274.67","6,244,586"
"06/2024","278.14","278.56","273.38","275.04","5,214,002"
"06/2024","277.71","280.335","276.86","278.67","4,515,795"
