"Date","Open","High","Low","Close","Volume"
"05/19/2025","165.715","174.53","164.26","170.06","100,505,540"
"05/12/2025","159.1","170.65","157.58","167.43","147,587,310"
"05/05/2025","164.515","167.1","149.4901","154.38","166,160,270"
"04/28/2025","164.26","166.7","157.155","165.81","96,215,120"
"04/21/2025","150.965","168.24","148.4","163.85","116,569,380"
"04/14/2025","162.31","164.03","150.9","153.36","70,381,620"
"04/07/2025","143.39","161.87","142.66","159.4","187,459,480"
"03/31/2025","154.81","160.275","147.54","147.74","139,064,530"
"03/24/2025","169.265","172.91","155.3394","156.06","111,576,310"
"03/17/2025","167.325","168.46","158.8","166.25","117,275,210"
"03/10/2025","170.16","170.45","163.24","167.62","106,393,940"
"03/03/2025","173.73","176.9","167.54","175.75","109,159,130"
"02/24/2025","183.8","185.09","168.39","172.22","119,240,090"
"02/17/2025","187.44","187.78","181.13","181.58","64,501,090"
"02/10/2025","189.06","189.99","183.63","186.87","72,709,910"
"02/03/2025","202.215","208.7","185.1","187.14","139,106,810"
"01/27/2025","194.19","207.08","192.61","205.6","84,855,970"
"01/20/2025","200.51","203.84","196.82","201.9","62,385,830"
"01/13/2025","191.35","198.81","188.66","197.55","75,273,830"
"01/06/2025","195.15","202.14","191.6","193.17","71,539,210"
"12/30/2024","190.865","194.5","188.71","193.13","56,984,870"
"12/23/2024","194.03","198.16","191.63","194.04","44,657,187"
"12/16/2024","194.365","202.88","186.37","192.96","156,317,440"
"12/09/2024","175.715","196.89","175.4","191.38","139,950,700"
"12/02/2024","170.32","177.71","170.27","176.49","80,019,830"
"11/25/2024","167.99","171.495","167.4","170.49","58,017,212"
"11/18/2024","174.955","180.17","165.31","166.57","113,184,570"
"11/11/2024","180.07","184.025","172.745","173.89","80,173,610"
"11/04/2024","171.24","182.58","169.485","179.86","87,525,740"
"10/28/2024","170.59","183.79","165.79","172.65","154,027,430"
"10/21/2024","164.58","167.6","162.77","166.99","63,427,790"
"10/14/2024","164.91","169.09","164.37","165.05","62,984,209"
"10/07/2024","169.14","169.9","161.12","164.52","69,271,480"
"09/30/2024","164.78","170.44","164.64","168.56","67,897,590"
"09/23/2024","165.34","166.97","162.03","165.29","79,869,160"
"09/16/2024","158.33","164.99","157.61","164.64","106,889,710"
"09/09/2024","153.63","159.275","148.2","158.37","105,208,980"
"09/02/2024","163.315","163.38","151.935","152.13","83,082,320"
"08/26/2024","168.155","169.38","161.982","165.11","76,549,820"
"08/19/2024","167","170.41","165.03","167.43","74,398,230"
"08/12/2024","165.995","166.95","159.53","164.74","82,914,090"
"08/05/2024","157.37","165.94","156.6","165.39","119,671,450"
"07/29/2024","170.5","175.91","166.39","168.4","79,186,100"
"07/22/2024","182.35","185.22","165.865","168.68","125,445,180"
"07/15/2024","186.49","190.34","178.21","179.39","74,685,780"
"07/08/2024","191.365","193.31","186.14","186.78","65,276,540"
"07/01/2024","184.48","192.26","182.73","191.96","46,083,876"
"06/24/2024","181.28","187.5","180.23","183.42","86,549,750"
"06/17/2024","176.98","182.5117","175.62","180.26","107,394,310"
"06/10/2024","176.45","182.08","174.38","178.37","78,443,580"
"06/03/2024","173.88","179.42","172.45","175.95","79,015,350"
"05/27/2024","175.74","178.51","170.97","173.96","77,608,380"
"05/20/2024","177.31","179.95","174.54","176.33","74,722,460"
"05/13/2024","165.847","177.495","165.76","177.29","93,129,960"
