"Date","Open","High","Low","Close","Volume"
"05/19/2025","374.19","389.75","368.595","370.84","14,681,688"
"05/12/2025","375","381.17","370.8255","380.78","15,105,914"
"05/05/2025","362.13","369.31","357.13","362.71","12,527,372"
"04/28/2025","357.99","366.2299","352.38","364.52","14,484,829"
"04/21/2025","354.29","364.84","341.8","357.58","15,661,669"
"04/14/2025","357.8","361.4446","344.32","355.06","11,595,184"
"04/07/2025","344.3","356.04","326.31","353.86","27,762,699"
"03/31/2025","353.495","372.3099","349.04","353.9","23,428,586"
"03/24/2025","354.62","365.21","354.28","358.15","15,981,342"
"03/17/2025","351.76","361.7665","346.275","351.15","21,276,524"
"03/10/2025","377.44","383.12","345.26","351.31","23,664,992"
"03/03/2025","396.95","397.07","368.9","376.8","19,358,943"
"02/24/2025","386.09","401.01","378.2","396.6","23,506,544"
"02/17/2025","408.31","408.87","383.9","385.3","15,764,541"
"02/10/2025","410.64","417.9999","402.12","409.5","13,519,426"
"02/03/2025","406.12","417.79","401.01","407.37","11,813,504"
"01/27/2025","414.9","426.1859","410.32","411.98","14,746,153"
"01/20/2025","413","420.22","408.75","414.5","13,359,831"
"01/13/2025","389.99","414.45","387.7","409.38","17,037,777"
"01/06/2025","390.5","393.99","380.1","389.89","13,720,874"
"12/30/2024","390.53","392.67","385.68","389.18","9,275,261"
"12/23/2024","391.1","396.14","387.03","392.86","7,090,535"
"12/16/2024","417.85","418.48","383.05","392.6","23,454,473"
"12/09/2024","432.35","436.36","413.18","416.98","17,315,524"
"12/02/2024","429","435.75","423.155","431.37","12,985,435"
"11/25/2024","425","439.37","424.46","429.13","11,624,997"
"11/18/2024","405.5","420.14","399.36","420","20,021,013"
"11/11/2024","407.77","416.02","402.19","408.18","19,389,346"
"11/04/2024","391.95","406.4","381.72","405.9","20,092,502"
"10/28/2024","403.45","405.8399","389.05","392.59","15,001,428"
"10/21/2024","416.07","416.555","396.21","398.91","15,837,095"
"10/14/2024","411.48","421.56","411.304","415","12,661,296"
"10/07/2024","404.89","420.03","401.24","411.9","16,347,724"
"09/30/2024","400.2","412.97","399.02","408.36","17,662,105"
"09/23/2024","390.83","403.5437","387.26","399.53","14,649,440"
"09/16/2024","382","392.67","379.53","389.86","19,712,830"
"09/09/2024","362.76","382","360.03","379.99","13,355,679"
"09/02/2024","367.9","369.38","357.58","360.05","11,837,591"
"08/26/2024","377.08","378.5821","364.8772","368.5","12,366,024"
"08/19/2024","362.5","376.32","360.5","375.59","19,205,295"
"08/12/2024","350.77","365.41","339.37","362.06","21,917,742"
"08/05/2024","350.88","358.6599","341.34","348.64","15,994,143"
"07/29/2024","359.21","372.49","346.74","355.43","15,980,938"
"07/22/2024","364.5","367.28","349.33","359.51","15,829,825"
"07/15/2024","359.14","375.74","355.03","363.36","14,955,158"
"07/08/2024","335.88","363.95","335","359.77","17,220,263"
"07/01/2024","343.92","344.645","331.64","334.58","10,809,999"
"06/24/2024","356.9","357.685","334.5337","344.24","21,881,431"
"06/17/2024","344.89","356.4111","344.4","355.8","16,593,136"
"06/10/2024","327","350.49","326.5","346.84","16,705,038"
"06/03/2024","333.65","333.65","323.93","327.03","15,995,181"
"05/27/2024","325.39","335.17","323.77","334.87","15,793,637"
"05/20/2024","341.13","342.5491","324.42","325.1","18,294,919"
"05/13/2024","348.06","350.44","333","344.21","19,901,629"
"05/06/2024","346","349.81","337.63","346.43","16,635,499"
"04/29/2024","335","346.88","329.43","342.85","16,340,216"
"04/22/2024","338.22","340.19","326.9","335.09","17,092,380"
"04/15/2024","345.92","346.08","331.325","335.36","19,802,626"
"04/08/2024","358.07","364.45","341.51","342.87","19,822,927"
"04/01/2024","381.47","383.139","356.0157","357.87","21,332,071"
"03/25/2024","389.1","389.86","379.4","383.6","12,049,326"
"03/18/2024","376.49","396.8729","371.14","390.28","16,823,202"
"03/11/2024","371.56","382.71","368.87","373.23","22,551,499"
"03/04/2024","382.9","384.5299","372.1","373.35","12,658,375"
"02/26/2024","373.51","385.095","370.6101","384.45","14,680,063"
"02/19/2024","355.31","374.245","354.5561","371.96","14,894,705"
"02/12/2024","364.22","368.72","353.88","362.35","15,787,517"
"02/05/2024","353.66","365.65","350.76","363.15","12,883,708"
"01/29/2024","355.15","360.14","350.02","357.23","14,583,289"
"01/22/2024","359.36","361.46","347.07","355.3","17,598,589"
"01/15/2024","358.06","362.96","354.03","362.41","12,060,862"
