"Date","Open","High","Low","Close","Volume"
"05/19/2025","265.55","268.32","260.7263","261.04","28,045,432"
"05/12/2025","262.9","269.52","258.7","267.56","44,983,466"
"05/05/2025","251.18","255.88","248.83","253.08","33,952,702"
"04/28/2025","244.56","253.6187","238.43","252.51","43,457,408"
"04/21/2025","230.63","246.79","226.336","243.55","51,188,108"
"04/14/2025","237.1","239.78","227.93","231.96","42,810,971"
"04/07/2025","205.77","238.575","202.16","236.2","105,603,340"
"03/31/2025","239.41","247.245","208.93","210.28","73,775,593"
"03/24/2025","245.48","254.67","241.11","242.85","51,496,511"
"03/17/2025","231.18","242.33","230.455","241.63","57,706,868"
"03/10/2025","236.21","237.51","224.23","232.44","81,514,170"
"03/03/2025","264","266.32","239.42","242.28","60,867,326"
"02/24/2025","265.49","267","253.35","264.65","44,596,351"
"02/17/2025","276.76","280.25","262.84","264.24","41,609,286"
"02/10/2025","276.15","279.2334","269.59","276.59","36,594,916"
"02/03/2025","261.83","278.55","261.7009","275.8","33,834,010"
"01/27/2025","264.17","270.82","262.26","267.3","38,532,253"
"01/20/2025","260.07","267.1","259.5037","264.84","41,149,965"
"01/13/2025","239.67","260.62","239","259.16","73,831,680"
"01/06/2025","243.695","245.69","238.74","239.87","37,603,307"
"12/30/2024","238.77","244.88","237.11","243.28","29,306,703"
"12/23/2024","236.07","243.39","234.88","241.17","22,523,395"
"12/16/2024","240.61","240.67","229.53","237.6","72,577,219"
"12/09/2024","247.13","247.96","239.1437","239.94","40,575,768"
"12/02/2024","249.55","250.25","242.23","247.36","34,995,974"
"11/25/2024","249.59","254.31","248.34","249.72","27,474,582"
"11/18/2024","247.76","249.15","238.64","248.55","41,641,348"
"11/11/2024","240","246.42","238.76","245.31","49,041,635"
"11/04/2024","222.65","248","219.17","236.98","63,771,194"
"10/28/2024","223.35","226.75","221.58","222.94","35,287,285"
"10/21/2024","225.22","225.7","220.875","222.31","34,009,202"
"10/14/2024","223.2","225.92","218.88","225.37","38,137,994"
"10/07/2024","211.03","224.6299","208.38","222.29","46,012,369"
"09/30/2024","206.31","211.67","204.34","211.22","40,484,054"
"09/23/2024","211","212.95","208.61","210.5","38,363,180"
"09/16/2024","205.83","211.91","205.59","211.09","56,988,297"
"09/09/2024","215.19","218.64","200.61","204.32","70,283,160"
"09/02/2024","222.3","224.1","211.09","212.46","32,190,435"
"08/26/2024","219.01","225.48","218.05","224.8","31,787,145"
"08/19/2024","214","219.19","212.84","218.31","29,394,592"
"08/12/2024","206.41","214.09","203.66","213.97","35,255,944"
"08/05/2024","194.05","206.47","190.9","205.8","47,038,653"
"07/29/2024","212.65","216.39","196.89","199.14","53,416,298"
"07/22/2024","210.46","213.16","208.05","212.24","34,771,003"
"07/15/2024","207.19","217.56","206.72","209.78","54,360,188"
"07/08/2024","205.04","209.76","202.1","204.94","52,206,098"
"07/01/2024","202.84","210.38","202.66","204.79","31,662,797"
"06/24/2024","197.81","202.6","196.275","202.26","47,681,493"
"06/17/2024","193.48","199.45","192.64","196.3","47,451,978"
"06/10/2024","199.24","200.84","190.88","193.78","43,519,648"
"06/03/2024","202.31","202.42","195.33","199.95","36,249,031"
"05/27/2024","199.86","203.3","196.89","202.63","34,277,860"
"05/20/2024","204.39","205.88","195.4","200.71","56,645,066"
"05/13/2024","198.8","205.05","198.04","204.79","41,773,808"
