"Date","Open","High","Low","Close","Volume"
"05/19/2025","151.89","154.43","151.05","153.18","27,023,626"
"05/12/2025","152.02","155.36","146.115","151.33","45,786,260"
"05/05/2025","156.67","157.9423","153.685","154.22","36,089,335"
"04/28/2025","155.5","158.2","153.36","156.12","33,960,448"
"04/21/2025","157.96","158.72","152.45","154.58","39,475,549"
"04/14/2025","151.585","159.44","151.1658","157.47","40,501,356"
"04/07/2025","151.28","153.59","141.5","151.73","72,649,491"
"03/31/2025","164.37","166.63","152.93","153.24","75,992,430"
"03/24/2025","162.84","164.52","160.555","163.71","35,239,546"
"03/17/2025","162.41","164.86","161.73","163.63","44,488,466"
"03/10/2025","167.48","169.9","161.1","162.81","46,982,851"
"03/03/2025","164.96","169.99","163.51","166.69","47,611,955"
"02/24/2025","162.68","166.43","161.73","165.02","54,304,023"
"02/17/2025","154.14","163.51","153.24","162.3","37,416,353"
"02/10/2025","153.61","158.13","152.29","156.15","39,354,306"
"02/03/2025","152","154.8402","150.78","153.12","38,903,117"
"01/27/2025","148.45","154.14","148","152.15","49,999,039"
"01/20/2025","147.56","148.86","142.11","146.82","48,340,542"
"01/13/2025","142.98","148.38","142.31","147.03","46,229,749"
"01/06/2025","143.51","147.18","140.68","142.06","36,329,594"
"12/30/2024","144.84","145.77","142.95","144.19","24,011,239"
"12/23/2024","144.63","146.6","143.45","145.05","22,130,182"
"12/16/2024","146.73","147.25","142.75","144.47","55,630,845"
"12/09/2024","149.29","150.89","145.04","146.62","45,756,803"
"12/02/2024","154.75","155","148.38","149.31","42,241,728"
"11/25/2024","155.17","157.035","153.16","155.01","27,768,004"
"11/18/2024","152.59","157.115","151.81","155.17","43,216,150"
"11/11/2024","155.62","157.58","150.76","154","40,535,305"
"11/04/2024","159.7","160.85","155.41","155.47","36,566,632"
"10/28/2024","161.13","162.17","159.0302","160.13","29,750,574"
"10/21/2024","165.1","166","160.61","160.88","30,992,348"
"10/14/2024","161.4","166.75","159","165.12","33,200,472"
"10/07/2024","160.25","162.66","158.95","161.46","25,126,838"
"09/30/2024","161.57","162.75","158.775","160.29","25,225,815"
"09/23/2024","164.4","164.5","160.02","161.4","29,809,353"
"09/16/2024","166.36","168.35","163.55","164.16","31,772,327"
"09/09/2024","164.84","168.46","162.7101","165.52","28,252,726"
"09/02/2024","165.24","168.85","164.12","164.38","24,512,860"
"08/26/2024","164.17","165.98","162.16","165.86","31,807,690"
"08/19/2024","159.46","164.22","159.13","164.13","30,348,596"
"08/12/2024","160.97","161.7","156.44","159.39","34,708,622"
"08/05/2024","163.795","165.78","158.03","160.62","35,306,398"
"07/29/2024","159.97","164.85","157.71","164.14","38,957,899"
"07/22/2024","154.77","161.58","151.57","160.64","38,647,154"
"07/15/2024","150.08","157.49","148.87","154.69","44,546,652"
"07/08/2024","146.4","150.88","145.18","149.88","28,934,106"
"07/01/2024","146.07","148.7","144.5","146.48","18,771,097"
"06/24/2024","149","149.7199","144.84","146.16","35,037,769"
"06/17/2024","145.02","149.08","144.74","148.75","36,749,742"
"06/10/2024","146.53","147.56","143.88","145.54","28,508,754"
"06/03/2024","147.25","148.9","144.66","147.08","32,224,908"
"05/27/2024","146.79","147.48","143.71","146.67","41,875,951"
"05/20/2024","153.1","154.08","146.76","146.97","37,365,420"
"05/13/2024","150.04","154.86","149.705","154.64","33,543,346"
"05/06/2024","149.87","150.1","147.91","149.91","32,368,354"
"04/29/2024","146.14","152.33","144.53","149.27","44,745,531"
"04/22/2024","148.51","150.49","145.95","146.14","43,811,103"
"04/15/2024","148.37","149.49","143.13","147.91","50,293,640"
"04/08/2024","151.99","153.035","147.15","147.52","34,355,102"
"04/01/2024","157.72","158.15","151.61","152.39","32,295,881"
"03/25/2024","155.4","159.14","154.76","158.19","29,005,302"
"03/18/2024","158.57","158.69","155.1","155.23","33,589,582"
"03/11/2024","159.49","163.11","157.1","158.18","39,053,326"
"03/04/2024","161.32","161.61","158.24","159.52","33,077,625"
"02/26/2024","161.8","162.57","159.64","162.12","32,134,548"
"02/19/2024","156.56","162.25","156.44","161.84","31,766,015"
"02/12/2024","156.58","158.475","154.84","156.55","40,424,825"
"02/05/2024","156.61","159.37","155.31","156.76","43,326,875"
"01/29/2024","159.01","160.62","155.94","156.61","38,248,795"
"01/22/2024","162","163.58","156.91","159.5","34,292,687"
"01/15/2024","161.57","162.25","159.69","161.68","24,435,100"
"01/08/2024","161.1","163.28","159.61","162.39","27,314,869"
"01/01/2024","156.93","161.98","156.79","161.13","30,223,300"
"12/25/2023","155","157.24","154.85","156.74","18,149,517"
"12/18/2023","155.21","156.66","153.11","155.46","29,289,148"
"12/11/2023","154.5","157.16","151.77","155.16","53,147,896"
"12/04/2023","158","160.02","153.84","154.42","35,618,382"
"11/27/2023","152.29","158.46","150.84","158.38","40,373,580"
"11/20/2023","147.91","152.6794","147.54","152.5","22,763,767"
"11/13/2023","147.25","150.785","146.65","149.79","33,233,244"
"11/06/2023","151.78","152.425","145.64","147.25","29,057,387"
"10/30/2023","146.09","152.27","146","151.34","31,791,361"
"10/23/2023","152.86","153.5","144.95","145.6","36,908,323"
"10/16/2023","157.82","158.9499","150.15","153","42,690,626"
"10/09/2023","157.18","159.27","155.0663","156.85","27,763,526"
"10/02/2023","155.42","158.3","153.32","157.64","29,752,045"
"09/25/2023","160.07","160.36","155.255","155.75","37,380,724"
"09/18/2023","162.12","163.5354","160.25","160.5","24,681,718"
"09/11/2023","161.06","165.27","160.45","161.45","40,903,193"
"09/04/2023","160.56","161.97","157.35","160.56","35,663,622"
"08/28/2023","165","166.21","160.015","160.48","64,548,749"
"08/21/2023","169.69","170.18","162.0105","166.25","416,106,850"
"08/14/2023","173.52","175.6","171.31","172.49","359,092,080"
"08/07/2023","169.49","175.97","169.36","173.85","182,208,960"
"07/31/2023","169.69","172.68","166.06","169.04","93,883,810"
"07/24/2023","171.5","175.36","169.75","174.48","69,818,900"
"07/17/2023","159.75","170.82","157.33","170.19","53,315,976"
"07/10/2023","159.43","160.3","157.41","159.87","31,050,742"
"07/03/2023","164.34","164.39","159.2","159.25","24,615,149"
"06/26/2023","164.98","165.94","161.33","165.52","30,814,605"
"06/19/2023","164.26","166.27","162.69","165.48","30,110,576"
"06/12/2023","160","164.99","158.73","164.23","39,842,112"
"06/05/2023","156.75","160.725","156.97","160.01","30,092,111"
"05/29/2023","153.97","157.31","153.15","156.97","32,478,739"
"05/22/2023","158","159.14","153.72","154.35","30,215,536"
"05/15/2023","160.8","161.03","157.56","158.91","29,244,785"
"05/08/2023","161.99","162.57","159.3901","160.78","27,044,147"
"05/01/2023","163.6","166.18","161.25","162.68","28,694,773"
"04/24/2023","162.69","165.35","161.87","163.7","28,824,733"
"04/17/2023","165.735","166.24","159.65","162.69","45,882,906"
"04/10/2023","164.63","166.33","163.1","165.84","29,887,759"
"04/03/2023","154.95","167.23","153.94","165.15","41,476,002"
"03/27/2023","154.2","155.19","151.725","155","33,345,557"
"03/20/2023","152.47","154.13","150.11","152.65","38,197,682"
"03/13/2023","152.09","155.91","151.57","152.38","55,125,204"
"03/06/2023","154.66","156.25","150.71","151.61","37,780,143"
"02/27/2023","156.45","156.9","151.231","154.02","37,608,664"
"02/20/2023","159.65","160.35","155.21","155.97","37,318,918"
"02/13/2023","161.33","162.9699","156.62","160.39","48,942,910"
"02/06/2023","164.55","164.8525","161.07","162.15","35,364,025"
"01/30/2023","167.93","168.54","161.05","164.61","61,704,416"
"01/23/2023","169.1","175","166.01","168.23","39,071,278"
"01/16/2023","174","174.58","167.48","168.74","28,661,128"
"01/09/2023","179.3","179.76","172.11","173.43","29,825,048"
"01/02/2023","176.16","180.93","176.01","180.25","28,094,916"
"12/26/2022","178.11","178.45","175.4","176.65","12,758,347"
"12/19/2022","175.35","178.18","174.07","177.48","26,775,477"
"12/12/2022","175.95","181.039","174.86","175.67","50,037,987"
"12/05/2022","178.36","180","175.66","175.74","28,126,164"
"11/28/2022","176.75","179.96","174.66","178.88","38,278,272"
"11/21/2022","175.89","178.12","174.83","177.24","18,862,676"
"11/14/2022","170.25","176.64","170.25","176.2","32,455,013"
"11/07/2022","171.67","175","166.82","169.25","36,871,824"
"10/31/2022","174.52","175.16","168.94","171.48","31,794,203"
"10/24/2022","169.81","175.39","168.52","174.87","30,106,568"
"10/17/2022","165.4","169.37","163.05","168.71","41,786,512"
"10/10/2022","160.63","165.99","159.18","164.46","28,019,746"
"10/03/2022","164.29","166.04","159.17","160.2","31,686,859"
"09/26/2022","165.8","167.67","163.32","163.36","42,076,673"
"09/19/2022","166.3","167.48","162.83","166.72","39,595,157"
"09/12/2022","166.11","167.63","160.81","167.6","50,023,394"
"09/05/2022","163.94","166.215","162.16","165.71","23,281,514"
"08/29/2022","163.47","166.2","161.27","162.74","34,287,509"
"08/22/2022","168.9","168.92","164.195","164.27","28,058,973"
"08/15/2022","166","170.12","165.125","169.31","41,372,873"
"08/08/2022","171.3","171.48","165.15","165.3","39,702,394"
"08/01/2022","174.17","175.49","169.79","171.11","27,152,634"
"07/25/2022","172.12","176.09","171.13","174.52","25,575,763"
"07/18/2022","177.74","178.19","169.76","172.12","38,304,139"
"07/11/2022","177.7","179.02","172.2968","178.23","24,696,683"
"07/04/2022","178.83","179.99","174.61","178.28","20,567,208"
"06/27/2022","181.64","183.3506","175.03","179.52","38,559,565"
"06/20/2022","170.75","182.53","169.56","182.29","38,411,018"
"06/13/2022","170.08","172.25","167.26","169.46","42,453,443"
"06/06/2022","177.21","179.45","170.6212","172.55","27,325,708"
"05/30/2022","178","180.17","174.5884","176.42","34,467,582"
"05/23/2022","177.6","181.74","177.46","181.09","32,771,029"
"05/16/2022","176.85","179.7","172.69","176.98","34,273,237"
"05/09/2022","175.45","179.18","174.59","176.85","36,811,553"
"05/02/2022","180.47","181.41","174.69","176.37","32,490,419"
