"Date","Open","High","Low","Close","Volume"
"05/19/2025","753","763.495","723.97","724.95","11,996,187"
"05/12/2025","727.87","765.3299","712.21","757.39","31,116,483"
"05/05/2025","817","829.64","733","734.57","22,924,411"
"04/28/2025","870.44","902.4999","792.07","823.62","28,946,555"
"04/21/2025","841.51","885.58","807","884.54","15,466,146"
"04/14/2025","750.45","858","730.34","839.96","20,075,274"
"04/07/2025","697.93","763.504","677.0912","732.41","24,794,702"
"03/31/2025","808.98","828.01","734.6975","738.21","17,383,428"
"03/24/2025","845.32","874.92","815.29","822.51","12,590,320"
"03/17/2025","816.95","854.3899","812.615","837.57","19,058,735"
"03/10/2025","853.91","863.19","795.38","813.48","19,442,863"
"03/03/2025","912.8","935.625","861.39","869.58","18,523,882"
"02/24/2025","879.29","925.5","870.0175","920.63","18,317,661"
"02/17/2025","856.42","894.4","851.36","873.68","14,425,576"
"02/10/2025","877.725","883.4999","841.49","844.27","13,238,754"
"02/03/2025","804.27","889.36","801.75","878.31","23,252,117"
"01/27/2025","778.71","827.35","778.71","811.08","13,757,259"
"01/20/2025","731.27","789.29","726.53","785.41","16,158,373"
"01/13/2025","794.4","805.34","725.01","725.72","28,424,092"
"01/06/2025","783.715","800","761.6202","799.9","15,018,738"
"12/30/2024","777.915","787","764.3","781.98","7,787,260"
"12/23/2024","785.17","803.9099","773.07","783.17","8,159,208"
"12/16/2024","792","811.35","752.395","767.76","24,683,827"
"12/09/2024","823.7","823.7","772.99","789.12","15,265,324"
"12/02/2024","798.11","846.4629","795.2201","826.71","15,019,301"
"11/25/2024","750","807","740.01","795.35","17,234,649"
"11/18/2024","733.19","761.2799","711.4001","748.01","28,304,340"
"11/11/2024","831.3","844","744.2","746.2","21,113,990"
"11/04/2024","805","847.27","767.61","831.54","27,679,708"
"10/28/2024","894.87","907.98","769","818.93","35,377,939"
"10/21/2024","917.98","918.86","888.28","892.7","9,656,066"
"10/14/2024","936","937","897.835","917.97","9,958,038"
"10/07/2024","890.51","932.24","889.565","932.06","10,911,749"
"09/30/2024","864.52","893.3499","858.81","887.16","11,399,738"
"09/23/2024","921","939.3","875.61","877.79","13,934,802"
"09/16/2024","931.13","939.86","902.3","921.49","18,153,576"
"09/09/2024","912.57","942.35","895.0001","923.71","11,614,551"
"09/02/2024","957.77","969.6499","893","902.71","11,062,262"
"08/26/2024","949.2","972.48","936","960.02","11,098,576"
"08/19/2024","922.12","972.53","916.5001","952.74","15,200,072"
"08/12/2024","904.21","937.955","883","922.12","16,720,619"
"08/05/2024","758","908.49","747.55","891.68","28,529,543"
"07/29/2024","814.01","840.89","775.81","804.46","16,860,592"
"07/22/2024","864.8","887.72","801.3","804.62","17,360,356"
"07/15/2024","956.2","966.1","836.66","857.47","20,102,844"
"07/08/2024","917.89","950.79","912","948.4","12,641,082"
"07/01/2024","911.77","918.5","878.5","914.57","13,089,951"
"06/24/2024","889.975","915.54","882.94","905.38","13,273,638"
"06/17/2024","878","905.45","870.13","883.88","11,777,945"
"06/10/2024","853.98","885.06","849.39","878.45","14,414,855"
"06/03/2024","823.83","856.81","817.62","849.99","11,032,339"
"05/27/2024","809","826.21","788.25","820.34","11,321,904"
"05/20/2024","766.9","820.605","766.12","807.43","13,094,737"
"05/13/2024","763.5","787.66","750.53","770","10,813,378"
"05/06/2024","738.04","784","736","760","12,972,035"
"04/29/2024","735.75","795.4975","729.61","734.97","20,775,293"
"04/22/2024","729.74","752.64","718.3","733.51","11,147,553"
"04/15/2024","760.07","771.83","722.07","726.31","13,220,608"
"04/08/2024","785.02","785.195","746.83","751.64","9,919,157"
"04/01/2024","776","787.8969","753.5","784.21","13,030,458"
"03/25/2024","771.1","793.67","767.38","777.96","9,412,763"
"03/18/2024","762.28","780.5399","755","770.61","12,110,614"
"03/11/2024","752.21","768","727.62","754.17","15,405,660"
"03/04/2024","796.44","800.78","755","762.14","17,575,226"
"02/26/2024","771.3","784.08","744.025","782.12","15,829,713"
"02/19/2024","790","793.38","733.24","769.54","13,811,952"
"02/12/2024","740.8","794.47","726.45","782.06","16,703,293"
"02/05/2024","691.02","745.7","682.53","740.16","29,071,039"
