"Date","Open","High","Low","Close","Volume"
"05/2025","592.075","662.67","570.5","647.49","292,501,194"
"04/2025","570.84","592.66","479.8","549","451,371,790"
"03/2025","673.675","681.25","553.3","576.36","363,465,540"
"02/2025","675.91","740.91","641.86","668.2","298,434,140"
"01/2025","589.72","710.79","587.82","689.18","317,942,162"
"12/2024","577.5","638.4","575.57","585.51","263,232,496"
"11/2024","567.605","599.66","549.05","574.32","237,811,393"
"10/2024","577.98","602.95","561.52","567.58","265,908,326"
"09/2024","519.64","577.4","495.6","572.44","246,452,950"
"08/2024","521","544.23","450.8","521.31","323,379,340"
"07/2024","504.95","542.81","442.65","474.83","324,021,249"
"06/2024","470.86","522.8799","468.24","504.22","226,951,176"
"05/2024","428.6","482.4999","427.11","466.83","282,486,719"
"04/2024","487.2","531.4899","414.5","430.17","437,297,182"
"03/2024","492.11","523.57","476","485.58","279,207,515"
"02/2024","393.94","494.3599","393.05","490.13","466,261,660"
"01/2024","351.32","406.36","340.01","390.14","346,966,830"
"12/2023","325.48","361.9","313.66","353.96","334,625,634"
"11/2023","301.85","342.92","301.85","327.15","329,354,278"
"10/2023","302.74","330.54","279.403","301.27","511,372,080"
"09/2023","299.37","312.87","286.79","300.21","406,801,430"
"08/2023","317.535","324.14","274.38","295.89","424,632,800"
"07/2023","286.7","326.2","284.8499","318.6","625,318,765"
"06/2023","265.9","289.79","258.88","286.98","481,179,610"
"05/2023","238.615","268.65","229.85","264.72","487,171,530"
"04/2023","208.84","241.685","207.13","240.32","446,687,870"
"03/2023","174.59","212.17","171.43","211.94","690,450,700"
"02/2023","148.03","197.16","147.06","174.94","772,199,860"
"01/2023","122.82","153.19","122.28","148.97","548,770,820"
"12/2022","119.198","124.67","112.46","120.34","653,019,650"
"11/2022","94.33","118.74","88.09","118.1","1,063,814,420"
"10/2022","137.14","142.3901","92.6","93.16","1,114,165,600"
"09/2022","163.58","171.39","134.1201","135.68","635,057,680"
"08/2022","157.25","183.1","155.2301","162.93","551,918,530"
"07/2022","160.31","183.85","154.85","159.1","586,548,240"
"06/2022","196.51","202.03","154.25","161.25","686,376,330"
"05/2022","201.165","224.3","176.11","193.64","680,548,650"
"04/2022","224.55","236.86","169","200.47","672,300,900"
"03/2022","209.87","231.151","185.82","222.36","733,289,980"
"02/2022","314.555","328","190.22","211.03","1,128,039,520"
"01/2022","338.295","343.0854","289.01","313.26","427,352,850"
"12/2021","330.29","352.71","299.5","336.35","438,301,500"
"11/2021","326.04","353.83","323.2","324.46","441,125,100"
"10/2021","341.61","345.02","308.11","323.57","588,382,460"
"09/2021","379.59","384.33","338.15","339.39","338,133,956"
"08/2021","358.1","382.759","347.7","379.38","226,147,006"
"07/2021","346.82","377.5499","334.5","356.3","335,423,647"
"06/2021","330.15","358.14","323.48","347.71","344,810,490"
"05/2021","326.17","333.78","298.19","328.73","353,388,997"
"04/2021","298.4","331.81","296.04","325.08","421,280,410"
"03/2021","260.82","299.705","253.5","294.53","497,455,300"
"02/2021","259.52","276.6","254.04","257.62","317,775,057"
"01/2021","274.78","286.79","244.61","258.33","452,699,687"
"12/2020","279.16","291.78","264.63","273.16","363,962,203"
"11/2020","264.6","297.38","257.34","276.97","356,802,816"
"10/2020","265.35","285.24","254.82","263.11","454,176,210"
"09/2020","294.71","303.6","244.13","261.9","499,179,590"
"08/2020","252.65","304.67","247.43","293.2","574,314,140"
"07/2020","228.5","255.85","226.9","253.67","517,670,150"
"06/2020","224.59","245.1853","207.11","227.07","548,043,740"
"05/2020","201.6","240.9","198.7562","225.09","509,636,750"
"04/2020","161.615","209.69","150.83","204.71","541,538,890"
"03/2020","194.03","197.24","137.1006","166.8","649,513,190"
"02/2020","203.44","218.765","181.82","192.47","317,634,510"
"01/2020","206.75","224.2","201.06","201.91","348,100,490"
"12/2019","202.13","208.93","193.17","205.25","278,225,696"
"11/2019","192.85","203.8","188.54","201.64","258,577,367"
"10/2019","179.15","198.09","173.09","191.65","330,152,492"
"09/2019","184","193.1","175.66","178.08","267,509,229"
"08/2019","194.17","198.47","176.66","185.67","295,174,826"
"07/2019","195.21","208.66","191.93","194.23","351,062,377"
"06/2019","175","194.53","160.84","193","426,428,460"
"05/2019","194.78","196.1769","177.16","177.47","286,821,836"
"04/2019","167.83","198.48","167.2789","193.4","377,636,331"
"03/2019","162.6","174.3","159.28","166.69","379,495,200"
"02/2019","165.84","172.47","159.59","161.45","299,076,380"
"01/2019","128.99","171.68","128.56","166.69","520,436,630"
"12/2018","143","147.19","123.02","131.09","552,348,830"
"11/2018","151.52","154.13","126.85","140.61","513,114,030"
"10/2018","163.03","165.88","139.03","151.79","612,819,210"
"09/2018","173.5","173.89","158.8656","164.46","496,596,480"
"08/2018","173.93","188.3","170.27","175.73","546,135,890"
"07/2018","193.37","218.62","166.56","172.58","629,490,940"
"06/2018","193.065","203.55","186.43","194.32","383,808,630"
"05/2018","172","192.72","170.23","191.78","397,077,980"
"04/2018","157.81","177.1","150.51","172","742,871,330"
"03/2018","179.01","186.1","149.02","159.79","989,836,300"
"02/2018","188.22","195.32","167.18","178.32","511,981,030"
"01/2018","177.68","190.66","175.8","186.89","484,669,921"
"12/2017","176.03","182.28","169.01","176.46","315,437,693"
"11/2017","182.36","184.25","174","177.18","346,533,864"
"10/2017","171.39","180.8","168.29","180.06","316,254,171"
"09/2017","172.4","174","161.56","170.87","303,774,978"
"08/2017","169.82","173.05","165","171.97","301,810,655"
"07/2017","151.72","175.49","147.8","169.25","415,923,470"
"06/2017","151.75","156.5","144.56","150.98","411,167,230"
"05/2017","151.74","153.6","144.4216","151.46","400,949,679"
"04/2017","141.93","151.53","138.81","150.25","273,855,701"
"03/2017","136.47","142.95","136.08","142.05","341,269,270"
"02/2017","132.25","137.1846","130.3","135.54","381,508,730"
"01/2017","116.03","133.14","115.51","130.32","378,290,420"
"12/2016","118.38","122.5","114","115.05","407,956,632"
"11/2016","131.41","131.94","113.5535","118.42","647,255,875"
"10/2016","128.38","133.5","126.75","130.99","312,599,680"
"09/2016","126.38","131.98","125.6","128.27","375,688,840"
"08/2016","123.85","126.73","122.07","126.12","365,054,710"
"07/2016","114.2","128.33","112.97","123.94","466,413,560"
"06/2016","118.5","119.44","108.23","114.28","449,843,430"
"05/2016","117.83","121.08","115.88","118.81","459,132,490"
"04/2016","113.75","120.79","106.31","117.58","738,540,330"
"03/2016","107.83","116.99","104.4","114.1","520,306,580"
"02/2016","112.27","117.59","96.82","106.92","872,792,440"
"01/2016","101.95","112.84","89.37","112.21","785,960,860"
"12/2015","104.83","107.92","101.46","104.66","438,900,564"
"11/2015","102.46","110.65","100.47","104.24","544,349,186"
"10/2015","90.05","105.12","88.36","101.97","570,218,810"
"09/2015","86.85","96.49","85.72","89.9","633,859,150"
"08/2015","93.53","98.74","72","89.43","707,614,310"
"07/2015","86.77","99.24","85.231","94.01","784,550,600"
"06/2015","79.3","89.4","78.66","85.765","536,479,950"
"05/2015","79.24","81.845","76.79","79.19","419,886,560"
"04/2015","82.5","85.59","78.32","78.77","538,613,130"
"03/2015","79","86.0699","77.26","82.215","574,128,940"
"02/2015","76.11","81.37","73.45","78.97","474,233,620"
"01/2015","78.58","79.2455","73.54","75.91","542,679,970"
"12/2014","77.26","82.17","74.4","78.02","533,102,561"
"11/2014","75.47","78.27","72.51","77.7","490,093,420"
"10/2014","78.78","81.16","70.32","74.99","1,068,067,440"
"09/2014","75.01","79.7067","73.07","79.04","719,045,050"
"08/2014","72.22","75.99","71.55","74.82","589,127,220"
"07/2014","67.58","76.74","62.21","72.65","1,021,068,730"
"06/2014","63.23","68","61.79","67.29","861,224,780"
"05/2014","60.43","64.3","56.26","63.3","1,117,719,800"
"04/2014","60.46","63.91","54.66","59.78","1,877,884,200"
"03/2014","66.96","72.59","57.98","60.24","1,253,411,180"
"02/2014","63.03","71.44","60.7","68.46","1,108,776,280"
"01/2014","54.83","63.37","51.85","62.57","1,291,298,300"
"12/2013","46.9","58.58","46.26","54.649","1,495,628,250"
"11/2013","50.85","52.09","43.55","47.01","1,354,586,050"
"10/2013","49.97","54.825","45.26","50.205","2,011,194,390"
"09/2013","41.84","51.6","41.44","50.23","1,579,326,630"
"08/2013","37.3","42.26","36.0201","41.294","1,341,646,010"
"07/2013","24.9694","38.31","24.15","36.8","1,428,878,760"
"06/2013","24.265","25.19","22.67","24.88","787,413,450"
"05/2013","27.85","29.07","23.26","24.348","979,004,390"
"04/2013","25.63","28.1","25.15","27.769","736,918,070"
"03/2013","27.05","28.675","24.72","25.58","725,714,930"
"02/2013","31.01","31.02","26.34","27.25","954,955,300"
"01/2013","27.44","32.5063","27.42","30.981","1,668,633,630"
"12/2012","28","28.88","25.15","26.6197","1,190,297,520"
"11/2012","21.08","28","18.87","28","1,524,623,140"
"10/2012","22.08","24.25","18.8","21.11","1,029,692,249"
"09/2012","18.08","23.37","17.55","21.66","1,053,208,690"
