"Date","Open","High","Low","Close","Volume"
"05/19/2025","450.875","459.585","450.8","452.57","55,995,230"
"05/12/2025","445.94","456.19","439.78","454.27","112,185,660"
"05/05/2025","432.87","443.67","431.1103","438.73","97,363,050"
"04/28/2025","391.955","439.44","384.44","435.28","157,710,020"
"04/21/2025","362.815","392.16","355.67","391.85","102,043,260"
"04/14/2025","393.22","394.65","366.89","367.78","79,539,080"
"04/07/2025","350.88","393.225","344.79","388.45","198,357,210"
"03/31/2025","372.535","385.08","359.48","359.84","150,374,590"
"03/24/2025","395.4","396.36","376.93","378.8","88,311,210"
"03/17/2025","386.7","392.705","381.1","391.26","119,293,120"
"03/10/2025","385.84","390.23","376.91","388.56","127,899,750"
"03/03/2025","398.82","402.15","381","393.31","121,122,500"
"02/24/2025","408.51","409.37","386.57","396.99","129,423,080"
"02/17/2025","408","419.31","406.5","408.21","96,570,780"
"02/10/2025","413.71","415.4624","404.3673","408.43","104,730,430"
"02/03/2025","411.6","418.65","408.1","409.75","101,744,040"
"01/27/2025","424.01","448.38","413.16","415.06","171,530,530"
"01/20/2025","430.2","447.27","425.595","444.06","87,828,230"
"01/13/2025","415.235","434.48","410.72","429.03","95,676,010"
"01/06/2025","428","434.32","415.02","418.95","73,968,430"
"12/30/2024","426.06","427.55","414.85","423.35","59,964,620"
"12/23/2024","436.74","440.94","426.35","430.53","52,634,700"
"12/16/2024","447.27","455.29","428.63","436.6","158,004,240"
"12/09/2024","442.6","456.1648","440.5","447.27","97,826,670"
"12/02/2024","421.57","446.1","421.31","443.57","105,037,420"
"11/25/2024","418.38","429.0414","414.85","423.46","85,754,340"
"11/18/2024","414.87","419.78","410.2887","417","107,661,990"
"11/11/2024","422.515","429.325","413.64","415","123,901,230"
"11/04/2024","409.8","426.85","405.5713","422.54","100,773,330"
"10/28/2024","431.655","438.5","406.3","410.37","140,477,090"
"10/21/2024","416.12","432.52","413.7501","428.15","89,823,390"
"10/14/2024","417.77","424.04","410.48","418.16","83,027,540"
"10/07/2024","416","420.38","408.17","416.32","83,116,600"
"09/30/2024","428.21","430.42","414.29","416.06","85,407,150"
"09/23/2024","434.28","436.46","426.1","428.02","74,929,170"
"09/16/2024","430.6","441.85","428.22","435.27","128,480,640"
"09/09/2024","407.24","431.83","402.15","430.59","87,449,660"
"09/02/2024","417.91","419.88","400.8","401.7","69,254,460"
"08/26/2024","416.365","422.05","407.31","417.14","82,881,960"
"08/19/2024","418.96","426.7899","412.09","416.79","85,544,520"
"08/12/2024","407.06","421.34","404.2434","418.47","97,971,860"
"08/05/2024","389.17","410.08","385.58","406.02","125,786,380"
"07/29/2024","431.58","432.15","404.34","408.49","150,439,090"
"07/22/2024","441.79","448.39","417.27","425.27","109,249,250"
"07/15/2024","453.3","457.26","432","437.11","95,094,390"
"07/08/2024","466.55","467.7","450.645","453.55","87,822,380"
"07/01/2024","448.66","468.35","445.66","467.56","57,575,720"
"06/24/2024","449.8","456.17","446.41","446.95","92,336,870"
"06/17/2024","442.585","450.94","440.72","449.78","92,266,080"
"06/10/2024","424.7","443.4","423.89","442.57","80,462,920"
"06/03/2024","415.525","426.28","408.9234","423.85","77,304,540"
"05/27/2024","429.63","430.94","404.51","415.13","107,655,250"
"05/20/2024","420.21","433.6","419.99","430.16","84,866,080"
"05/13/2024","418.01","425.42","410.82","420.21","85,671,360"
"05/06/2024","408.76","415.38","406.3701","414.74","76,899,190"
"04/29/2024","405.25","407.15","389.17","406.66","107,082,020"
"04/22/2024","400.08","413","388.03","406.32","121,367,810"
"04/15/2024","426.6","426.82","397.77","399.12","104,490,360"
"04/08/2024","425.17","429.37","419.7","421.9","80,221,430"
"04/01/2024","423.95","428.67","417.57","425.52","86,655,850"
"03/25/2024","425.24","427.41","419.01","420.72","73,362,240"
"03/18/2024","414.25","430.82","413.78","428.74","96,748,680"
"03/11/2024","403.762","427.82","401.26","416.42","134,930,880"
"03/04/2024","413.44","417.35","398.39","406.22","103,579,960"
"02/26/2024","411.455","415.87","403.85","415.5","93,983,180"
"02/19/2024","403.24","415.86","397.22","410.34","86,244,740"
"02/12/2024","420.555","420.74","403.39","404.06","113,551,080"
"02/05/2024","409.9","420.82","402.91","420.55","109,333,540"
"01/29/2024","406.06","415.32","397.21","411.22","164,773,350"
"01/22/2024","400.02","407.01","393.59","403.93","111,234,160"
"01/15/2024","393.66","398.67","384.81","398.67","102,159,590"
"01/08/2024","369.3","390.68","369.01","388.47","118,990,170"
"01/01/2024","373.86","375.9","366.5","367.75","90,248,180"
"12/25/2023","375","377.16","372.8116","376.04","60,636,310"
"12/18/2023","369.45","376.03","368.68","374.58","103,538,680"
"12/11/2023","368.48","377.6361","364.13","370.73","205,282,320"
"12/04/2023","369.1","374.46","362.9","374.23","119,583,650"
"11/27/2023","376.78","384.3","371.31","374.51","135,190,630"
"11/20/2023","371.22","379.7899","371","377.43","114,489,940"
"11/13/2023","368.22","376.35","365.9","369.85","142,038,160"
"11/06/2023","353.45","370.1","353.35","369.67","129,342,550"
"10/30/2023","333.41","354.39","331.83","352.8","119,237,920"
"10/23/2023","325.47","346.2","324.39","329.81","178,267,210"
"10/16/2023","331.05","336.88","325.45","326.67","113,729,960"
"10/09/2023","324.75","333.83","323.18","327.73","100,910,320"
"10/02/2023","316.28","329.19","311.215","327.26","104,962,900"
"09/25/2023","316.59","319.47","309.45","315.75","107,374,470"
"09/18/2023","327.8","330.4","315","317.01","111,793,480"
"09/11/2023","337.24","340.86","329.65","330.22","108,640,050"
"09/04/2023","329","336.16","328.66","334.27","74,018,800"
"08/28/2023","325.66","331.99","321.722","328.66","90,668,150"
"08/21/2023","317.93","332.98","317.04","322.98","106,273,890"
"08/14/2023","321.39","325.09","311.5508","316.48","102,513,460"
"08/07/2023","328.37","331.11","319.21","321.01","106,911,590"
"07/31/2023","336.92","338.54","325.95","327.78","113,690,360"
"07/24/2023","345.85","351.89","329.05","338.37","194,860,780"
"07/17/2023","345.678","366.78","339.83","343.77","228,153,320"
"07/10/2023","334.6","351.43","327","345.24","138,404,820"
"07/03/2023","339.19","342.99","334.7276","337.22","80,066,970"
"06/26/2023","333.72","342.73","328.49","340.54","109,964,010"
"06/19/2023","339.31","342.08","332.07","335.02","98,196,870"
"06/12/2023","328.58","351.47","325.16","342.33","158,712,890"
"06/05/2023","335.22","338.5599","322.5","326.79","128,227,060"
"05/29/2023","335.23","337.5","324.72","335.4","128,101,240"
"05/22/2023","318.6","333.4","312.61","332.89","158,230,090"
"05/15/2023","309.095","319.04","307.59","318.34","122,204,600"
"05/08/2023","310.13","313","306.09","308.97","124,192,360"
"05/01/2023","306.97","311.97","303.4","310.65","120,776,260"
"04/24/2023","282.09","308.93","275.37","307.26","219,914,680"
"04/17/2023","289.93","291.755","283.0608","285.76","106,069,090"
"04/10/2023","289.208","289.9","281.64","286.14","122,993,610"
"04/03/2023","286.52","292.08","282.03","291.6","102,542,740"
"03/27/2023","280.5","289.27","272.0451","288.3","131,625,280"
"03/20/2023","276.98","281.06","269.5191","280.57","177,709,520"
"03/13/2023","247.4","283.33","245.73","279.43","237,347,570"
"03/06/2023","256.425","260.12","247.6","248.59","117,910,570"
"02/27/2023","252.46","255.62","245.61","255.29","126,840,040"
"02/20/2023","254.48","256.84","248.1","249.22","105,098,510"
"02/13/2023","267.64","274.97","256","258.06","170,244,680"
"02/06/2023","257.44","276.76","254.78","263.1","196,239,010"
"01/30/2023","244.51","264.69","242.2","258.35","152,686,050"
"01/23/2023","241.1","249.83","230.9","248.16","198,648,460"
"01/16/2023","237.97","242.38","230.68","240.22","123,872,790"
"01/09/2023","226.45","239.9","226.41","239.23","131,675,750"
