"Date","Open","High","Low","Close","Volume"
"05/19/2025","1173.575","1211.2199","1171.71","1194.63","7,963,091"
"05/12/2025","1124.26","1196.5","1102.9301","1191.53","23,549,489"
"05/05/2025","1114.795","1164","1107.01","1140.22","19,601,898"
"04/28/2025","1100","1159.44","1082.62","1156.49","19,148,872"
"04/21/2025","984.4","1106.7984","973.05","1101.53","35,948,400"
"04/14/2025","932.7","993.4499","919.4979","973.03","26,707,725"
"04/07/2025","827.845","951.43","821.1","918.29","28,983,572"
"03/31/2025","920.53","949.5479","853.87","855.86","24,074,345"
"03/24/2025","969.67","998.7","929.23","933.85","19,464,777"
"03/17/2025","939.95","968","916.3","960.29","30,586,641"
"03/10/2025","875.07","927.18","854.5","918","31,462,462"
"03/03/2025","983","995.5999","858.07","891.11","27,698,243"
"02/24/2025","1008","1015.17","955","980.56","21,045,711"
"02/17/2025","1060","1062","999.39","1003.15","13,679,928"
"02/10/2025","1023.05","1064.5","998.3473","1058.6","16,638,827"
"02/03/2025","973","1027.76","964.375","1013.93","20,069,213"
"01/27/2025","971.1","994.59","957.3","976.76","18,485,447"
"01/20/2025","863.53","999","854.745","977.59","36,427,095"
"01/13/2025","831.525","868.98","823.519","858.1","16,889,652"
"01/06/2025","888.76","892.83","834.4","837.69","13,258,740"
"12/30/2024","894.51","908.2299","877","881.05","9,364,571"
"12/23/2024","913.42","935.85","894.5","907.55","10,228,244"
"12/16/2024","923.94","928.94","886.56","909.05","15,418,573"
"12/09/2024","928","941.75","902.59","918.87","14,212,374"
"12/02/2024","887.51","935.27","884.12","934.74","13,270,919"
"11/25/2024","902.05","902.05","858.91","886.81","13,757,921"
"11/18/2024","815.5","908","809.3301","897.79","19,717,434"
"11/11/2024","795.9","840.9997","795.565","823.96","14,692,937"
"11/04/2024","753.14","799.06","749.69","795.04","12,999,356"
"10/28/2024","758.68","763.88","747.77","756.1","14,299,378"
"10/21/2024","765.76","773","744.26","754.68","18,255,787"
"10/14/2024","725","766.281","677.88","763.89","33,124,891"
"10/07/2024","714.755","736","696.43","722.79","13,596,379"
"09/30/2024","707","721.01","698.59","719.7","10,769,745"
"09/23/2024","702.39","725.26","699.16","707.35","14,278,425"
"09/16/2024","700","715.66","688","701.03","15,353,328"
"09/09/2024","674","699.64","660.8","697.06","12,019,136"
"09/02/2024","700.1","703.86","662.34","665.77","9,747,638"
"08/26/2024","687.26","707.89","677.1","701.35","12,403,312"
"08/19/2024","674.07","711.33","672.91","686.73","15,148,527"
"08/12/2024","631","680.23","627.07","674.07","15,706,814"
"08/05/2024","587.04","636.62","587.04","633.94","16,815,461"
"07/29/2024","634.61","646.7099","608.35","613.64","16,275,599"
"07/22/2024","639.5","656.29","621.7001","631.37","20,246,017"
"07/15/2024","647.5","678.97","629.1201","633.34","27,303,140"
"07/08/2024","687","695.27","643.7075","647.6","15,649,313"
"07/01/2024","674.89","697.49","663.78","690.65","8,686,862"
"06/24/2024","685","688.57","662.3","674.88","15,558,158"
"06/17/2024","669.11","689.88","665.1101","686.12","13,717,134"
"06/10/2024","641.01","675.58","635.59","669.38","12,639,260"
"06/03/2024","645.215","657.99","626.44","641.47","12,357,566"
"05/27/2024","647.05","664.25","628.3","641.62","12,769,763"
"05/20/2024","620.4","652","619.52","646.75","13,883,381"
"05/13/2024","614.3","625.79","606.83","621.1","17,388,220"
"05/06/2024","581.82","623.98","580.25","610.87","15,113,294"
"04/29/2024","559.18","580.26","544.25","579.34","15,719,359"
"04/22/2024","550.66","579.21","542.01","561.23","27,068,177"
"04/15/2024","630.17","630.17","552.16","555.04","34,834,845"
"04/08/2024","636.39","639","609.34","622.83","12,720,545"
"04/01/2024","608","638","605.5101","636.18","13,519,564"
"03/25/2024","627.9","634.3899","601.59","607.33","10,944,787"
"03/18/2024","613.56","634.3617","608","628.01","12,769,725"
