"Date","Open","High","Low","Close","Volume"
"05/2025","146.56","163.41","145.335","155.97","134,042,297"
"04/2025","139.76","147.89","118.86","140.72","223,414,740"
"03/2025","166.95","167.12","136.76","139.81","259,203,903"
"02/2025","163.2","182.24","160.81","166.06","159,934,712"
"01/2025","168.52","191.99","152.42","170.06","298,574,260"
"12/2024","185.29","198.3099","164.55","166.64","196,445,827"
"11/2024","170.15","196.04","168.73","184.84","150,500,925"
"10/2024","170.22","178.61","165.97","167.84","134,385,805"
"09/2024","140.45","173.99","137.95","170.4","267,286,458"
"08/2024","139.29","141.72","125.75","141.29","119,963,832"
"07/2024","141.69","146.59","134.96","139.45","151,103,053"
"06/2024","117.53","145.32","117.34","141.2","238,355,245"
"05/2024","113.91","126.7","113.65","117.19","145,228,248"
"04/2024","125.54","127.99","112.78","113.75","135,990,866"
"03/2024","111.68","132.7737","110.365","125.61","243,321,508"
"02/2024","112.91","117.7872","106.51","111.68","147,701,109"
"01/2024","104.52","116.18","101.74","111.7","171,137,182"
"12/2023","116.07","117.35","99.26","105.43","269,931,060"
"11/2023","103.8","117.67","103.8","116.21","135,996,730"
"10/2023","105.81","111.06","99.87","103.4","164,671,175"
"09/2023","121.01","127.415","103.27","105.92","308,556,393"
"08/2023","116.92","121.98","111.13","120.39","169,726,280"
"07/2023","118.01","121.355","113.43","117.23","156,305,375"
"06/2023","104.88","127.54","104.78","119.09","328,838,037"
"05/2023","94.8","106.49","93.85","105.94","175,860,814"
"04/2023","92.38","96.7413","92.09","94.72","130,420,891"
"03/2023","86.9","93","82.04","92.92","189,784,004"
"02/2023","88.37","91.22","85.98","87.4","122,639,893"
"01/2023","82.47","90.49","82.26","88.46","135,703,687"
"12/2022","83.05","85.58","78.06","81.74","172,464,404"
"11/2022","78.6","83.485","74.05","83.03","143,314,091"
"10/2022","60.99","78.33","60.805","78.07","200,168,179"
"09/2022","74.12","79.4101","60.78","61.07","232,948,177"
"08/2022","77.18","79.8835","73.46","74.15","117,161,905"
"07/2022","69.85","78.16","68.23","77.84","126,255,818"
"06/2022","73.02","74.84","63.76","69.87","219,813,886"
"05/2022","73.93","75.35","66.72","71.92","162,439,857"
"04/2022","83.04","84.52","73.15","73.4","131,274,517"
"03/2022","75.98","84.51","73.115","82.73","243,940,690"
"02/2022","81.4","83.78","70.23","75.97","144,702,502"
"01/2022","87.33","89.5843","78.57","81.16","200,590,521"
"12/2021","91.69","106.34","87.18","87.21","271,043,751"
"11/2021","96","96.96","90.61","90.74","156,029,093"
"10/2021","87.76","98.95","87.595","95.94","177,727,462"
"09/2021","89.26","92.27","84.73","87.13","299,393,765"
"08/2021","87.73","91.775","87.09","89.13","154,884,992"
"07/2021","77.98","91.2","77.91","87.14","278,074,951"
"06/2021","79.58","85.03","75.9","77.84","276,739,091"
"05/2021","76.28","80.7233","76.08","78.74","216,323,039"
"04/2021","70.46","80.21","70.335","75.79","274,748,768"
"03/2021","64.95","73.62","64.77","70.17","385,411,916"
"02/2021","60.92","66.36","60.74","64.51","203,019,824"
"01/2021","64.69","64.7","59.74","60.43","173,105,464"
"12/2020","58.2","66.2","58.01","64.69","291,094,939"
"11/2020","56.44","59.08","55.56","57.72","187,067,078"
"10/2020","60.17","61.83","55.14","56.11","209,804,933"
"09/2020","57.37","62.5999","54.87","59.7","426,744,891"
"08/2020","55.78","58.45","53.66","57.22","217,959,791"
"07/2020","54.69","57.84","54.325","55.45","274,221,765"
"06/2020","53.28","55.965","50.91","55.27","336,678,755"
"05/2020","52.38","54.15","50.86","53.77","213,869,461"
"04/2020","46.55","54.72","46.04","52.97","261,552,899"
"03/2020","49.73","51.84","39.71","48.33","500,033,070"
"02/2020","52.73","55.89","47.9","49.46","193,550,009"
"01/2020","53.27","55.69","52.2846","52.45","200,562,663"
"12/2019","56.23","56.66","52.55","52.98","265,701,293"
"11/2019","54.81","57.058","54.5503","56.14","157,224,341"
"10/2019","55.04","57.33","52.675","54.49","252,844,446"
"09/2019","51.94","56.29","51.55","55.03","336,799,414"
"08/2019","56.3","56.85","51.25","52.06","225,972,944"
"07/2019","57.15","60.5","55.62","56.3","251,481,013"
"06/2019","50.56","57.47","49.89","56.97","417,220,320"
"05/2019","55.32","55.415","50.51","50.6","240,093,015"
"04/2019","53.88","55.53","53.33","55.33","188,932,000"
"03/2019","52.5","54.375","51","53.71","369,128,069"
"02/2019","50.52","53.03","49.82","52.13","253,715,727"
"01/2019","44.48","50.5","44.41","50.23","318,228,020"
"12/2018","49.44","50.22","42.4","45.15","535,439,610"
"11/2018","48.96","51.445","46.785","48.76","368,888,568"
"10/2018","51.22","51.99","46.335","48.84","444,058,220"
"09/2018","48.36","52.11","47.33","51.56","422,604,210"
"08/2018","47.91","49.7","46.63","48.58","310,181,980"
"07/2018","43.96","49.17","43.77","47.68","423,930,880"
"06/2018","47.08","48.67","42.57","44.06","467,381,110"
"05/2018","45.39","47.54","44.49","46.72","251,788,641"
"04/2018","45.65","47.29","44.04","45.67","279,954,472"
"03/2018","50.96","53.48","44.51","45.75","429,818,150"
"02/2018","51.36","51.98","45.92","50.67","287,958,836"
"01/2018","47.57","52.79","46.17","51.59","345,838,660"
"12/2017","49.05","50.71","47","47.28","361,715,286"
"11/2017","51.1","51.17","48.2","49.06","245,002,901"
"10/2017","48.72","51.28","48","50.9","310,485,053"
"09/2017","50.35","53.14","47.64","48.35","404,049,083"
"08/2017","50.15","50.515","47.98","50.33","216,267,586"
"07/2017","50.05","51.36","48.77","49.93","220,265,109"
"06/2017","45.52","51.85","43.74","50.14","388,369,583"
"05/2017","45.01","45.78","43.6","45.39","218,120,553"
"04/2017","44.68","45.05","43.76","44.96","216,222,476"
"03/2017","42.75","46.99","42.25","44.61","358,298,414"
"02/2017","40.22","43.26","39.68","42.59","224,187,562"
"01/2017","38.45","40.39","38.3","40.11","240,081,941"
"12/2016","40.11","41.14","37.64","38.45","307,271,159"
"11/2016","38.58","40.74","37.975","40.19","262,148,844"
"10/2016","39.2","39.335","37.62","38.42","218,266,062"
"09/2016","40.98","41.4196","38.71","39.28","295,950,982"
"08/2016","40.91","41.64","40.58","41.22","222,795,820"
"07/2016","40.7","41.91","40.02","41.04","233,313,813"
"06/2016","40.06","41.155","38.075","40.93","433,342,023"
"05/2016","39.9","40.43","38.56","40.2","206,797,242"
"04/2016","40.68","41.49","39.37","39.86","218,394,607"
"03/2016","37.15","42","37.04","40.91","360,455,906"
"02/2016","35.9","37.65","34.47","36.78","305,451,075"
"01/2016","36.01","36.31","33.13","36.31","391,696,190"
"12/2015","39.09","39.39","36.1","36.53","372,704,192"
"11/2015","39.05","40.64","37.22","38.97","294,371,930"
"10/2015","36.23","39.04","35.64","38.84","317,353,180"
