"Date","Open","High","Low","Close","Volume"
"05/19/2025","163.47","166.365","163.41","165.43","20,120,933"
"05/12/2025","157.425","163.43","156.69","163.28","36,976,212"
"05/05/2025","160.89","160.91","157.41","157.66","35,394,256"
"04/28/2025","161.04","163.16","159.05","160.52","41,411,655"
"04/21/2025","169.89","169.95","156.58","161.02","58,249,815"
"04/14/2025","167.04","171.65","165.78","170.63","31,767,084"
"04/07/2025","163.66","168.015","156.69","166.91","57,104,100"
"03/31/2025","168.1015","174.8","163.47","163.75","47,663,985"
"03/24/2025","166.43","169.71","162.195","168.03","33,917,145"
"03/17/2025","168.37","171.09","164.12","166.69","48,417,502"
"03/10/2025","176.755","179.99","166.62","167.97","45,638,200"
"03/03/2025","173.58","179.99","172.8439","175.95","42,991,929"
"02/24/2025","170.22","174.65","169.79","173.84","37,104,989"
"02/17/2025","163.35","170.5491","162.2","170.23","30,962,825"
"02/10/2025","167.69","171.38","162.3","162.89","38,046,764"
"02/03/2025","165.47","169.93","165.23","167.97","32,110,405"
"01/27/2025","166.72","169.94","165.21","165.99","30,338,960"
"01/20/2025","160.96","168.14","160.96","164.12","42,085,627"
"01/13/2025","159.35","161.75","158.31","161.13","33,850,851"
"01/06/2025","162.81","163.5","157.47","158.56","30,655,723"
"12/30/2024","168.665","168.98","164.25","165.13","18,970,982"
"12/23/2024","168.06","170.76","166.36","169.53","17,442,247"
"12/16/2024","171.445","172.78","167.35","168.06","50,114,665"
"12/09/2024","173.635","173.76","169.93","171.06","26,579,230"
"12/02/2024","179.12","180.16","173.46","173.82","31,442,641"
"11/25/2024","177.48","180.43","176.904","179.26","34,980,563"
"11/18/2024","169.11","177.4","168.8301","176.28","36,296,190"
"11/11/2024","167","170.57","165.57","169.54","35,668,481"
"11/04/2024","165.72","167.75","159.81","167.71","37,564,760"
"10/28/2024","169.28","169.66","164.985","165.1","28,465,095"
"10/21/2024","170.975","171.48","168.041","168.22","28,611,155"
"10/14/2024","171.02","174.905","168.46","171.28","34,616,595"
"10/07/2024","169.16","171.41","166.27","171.09","36,525,840"
"09/30/2024","173.73","174","168.26","168.88","30,438,384"
"09/23/2024","174.01","175.185","171.36","173.55","34,161,110"
"09/16/2024","174.71","177.31","170.38","174.22","54,091,942"
"09/09/2024","175.54","177.94","172.44","174.08","28,432,426"
"09/02/2024","171.03","177.04","170.99","175.59","29,466,495"
"08/26/2024","168.695","171.88","168.58","171.54","28,288,874"
"08/19/2024","168.18","171.89","168.11","169.17","21,349,590"
"08/12/2024","169.4","169.68","165.82","167.89","31,587,335"
"08/05/2024","170.88","171.72","166.67","170.54","37,943,504"
"07/29/2024","168.85","170.5399","158.04","170.08","56,636,724"
"07/22/2024","167.93","170.085","165.575","169.11","30,073,499"
"07/15/2024","166.47","170.92","164.46","167.96","32,636,589"
"07/08/2024","165.95","167.64","164.78","166.61","25,092,437"
"07/01/2024","165.59","166.21","161.71","165.21","22,577,567"
"06/24/2024","168.76","169.41","164.58","164.92","35,313,625"
"06/17/2024","165.85","168.88","165.4","168.26","35,037,652"
"06/10/2024","166.78","167.715","164.2209","166.79","22,129,991"
"06/03/2024","163.93","168.97","163.63","167.06","28,209,221"
"05/27/2024","164.49","164.77","161.42","164.54","25,924,670"
"05/20/2024","167.55","168.535","165.15","165.33","22,038,503"
"05/13/2024","166.85","168.34","163.95","167.64","28,332,748"
"05/06/2024","164.78","167.36","163.2629","166.85","26,035,663"
"04/29/2024","161.17","164.71","160.41","164.46","31,500,598"
"04/22/2024","158.43","164.32","157.2525","161.29","36,605,544"
"04/15/2024","156.42","158.175","153.52","158.14","38,332,640"
"04/08/2024","155.97","157.6","154.74","155.33","32,856,011"
"04/01/2024","161.78","162.07","154.69","156.1","34,267,923"
"03/25/2024","161.17","163.14","159.73","162.25","26,779,824"
"03/18/2024","161.48","162.72","161","161.66","28,709,905"
"03/11/2024","161.34","162.73","160.3033","161.38","31,615,746"
"03/04/2024","157.74","161.245","157.67","160.35","23,593,225"
"02/26/2024","161.025","161.17","157.61","158.85","25,371,386"
"02/19/2024","158.7","161.74","158.13","161.03","25,849,346"
"02/12/2024","157.36","158.97","154.91","157.51","30,123,395"
"02/05/2024","158.17","159.83","156.96","157.42","32,427,150"
"01/29/2024","156.68","159.6","155.395","158.09","41,191,414"
"01/22/2024","146.97","156.4","146.28","156.14","60,487,629"
"01/15/2024","150.15","151.5","146.92","147.57","29,035,899"
"01/08/2024","147.91","151.3","147.65","150.6","38,977,638"
"01/01/2024","146.36","149.41","146.31","147.42","27,297,898"
"12/25/2023","145.09","146.96","144.97","146.54","18,528,351"
"12/18/2023","144.17","147.49","143.13","145.28","31,837,910"
"12/11/2023","144.8","148.65","142.5","143.96","48,711,077"
"12/04/2023","151.77","152.61","144.52","145.15","38,589,110"
"11/27/2023","151.52","153.63","150.08","152.66","32,931,433"
"11/20/2023","150.21","151.74","148.83","151.38","20,673,777"
"11/13/2023","151.445","153.5","150.38","151.07","38,039,232"
"11/06/2023","150.36","151.44","149.12","151.41","29,286,245"
"10/30/2023","147.9","152.29","147.54","150.07","30,519,131"
"10/23/2023","147.86","151.38","146.28","147.16","34,190,866"
"10/16/2023","145.86","151.3","145.24","148.05","38,608,526"
"10/09/2023","143.36","145.56","141.6","144.69","29,565,162"
"10/02/2023","144.78","146.49","141.45","144.09","27,164,621"
"09/25/2023","151.18","151.28","144.82","145.86","30,217,700"
"09/18/2023","154.45","154.775","151.38","151.58","25,113,579"
"09/11/2023","153.33","155.32","151.57","153.47","27,736,494"
"09/04/2023","153.8","154.85","151.54","152.93","17,184,299"
"08/28/2023","153.71","155.28","152.03","154.51","20,939,471"
"08/21/2023","152.09","154.68","150.93","153.54","20,853,924"
"08/14/2023","157.13","157.53","151.17","152.54","29,443,429"
"08/07/2023","155.67","158.38","155.49","157.02","21,196,345"
"07/31/2023","156.4","157.73","155.06","155.28","29,890,517"
"07/24/2023","152.84","157.48","151.915","156.41","35,036,614"
"07/17/2023","149.65","153.67","148.14","152.93","32,568,791"
"07/10/2023","148.94","150.63","146.96","150.05","29,134,514"
"07/03/2023","151.48","152.53","148.75","148.8","29,404,252"
"06/26/2023","148.1","152.07","146.72","151.74","30,933,244"
"06/19/2023","149.745","151.1","147.87","148.46","30,501,219"
"06/12/2023","147","150.09","144.275","149.54","33,477,314"
"06/05/2023","146.05","147.85","143.4749","146.56","26,018,310"
"05/29/2023","143.86","146.68","141.9","146.52","37,631,294"
"05/22/2023","152.5","152.6","144.35","145.4","30,974,684"
"05/15/2023","156.61","156.92","151.6","153.17","27,045,249"
"05/08/2023","155.35","156.05","152.44","155.96","22,925,843"
"05/01/2023","156.03","157.57","154.69","156.03","23,764,474"
"04/24/2023","155.22","157.94","154.34","156.38","31,855,716"
"04/17/2023","151.17","158.11","150.105","156.07","32,540,241"
"04/10/2023","151.65","152.41","149.51","151","27,310,444"
"04/03/2023","148.425","152.96","147.09","152.22","23,930,728"
"03/27/2023","146.89","148.69","145.8","148.69","26,922,576"
"03/20/2023","143.5","146.76","142.84","146.72","33,795,627"
"03/13/2023","137.045","143.39","137.045","142.93","49,462,647"
"03/06/2023","140.73","141.135","136.1","137.19","26,464,086"
"02/27/2023","139.61","141.24","136.51","140.95","30,817,207"
"02/20/2023","138.87","141.58","138.08","139.26","24,122,008"
"02/13/2023","138.94","140.45","136.55","140.01","31,496,171"
"02/06/2023","142.01","142.64","135.83","138.26","34,166,931"
"01/30/2023","140.96","144.095","140.28","142.61","35,388,176"
"01/23/2023","143.36","143.7","138.73","140.57","33,467,685"
"01/16/2023","150.79","152.13","140.15","142.97","41,360,083"
"01/09/2023","153.44","154.8","149.35","150.88","32,472,327"
"01/02/2023","150.95","154.46","149.12","153.92","27,016,920"
"12/26/2022","152.7","154.65","150.44","151.56","16,753,905"
"12/19/2022","150.22","152.9199","149.24","152.62","25,860,576"
"12/12/2022","151.22","154.44","149.02","150.44","48,292,881"
"12/05/2022","148.71","151.95","148.27","150.92","29,500,019"
"11/28/2022","146.39","150.77","144.53","150.61","36,524,968"
"11/21/2022","143.06","147.2","142.83","146.72","18,457,199"
"11/14/2022","140.51","143.56","139.7","142.57","33,303,438"
"11/07/2022","135.35","141.63","135.06","140.97","32,947,993"
"10/31/2022","135.2","136.54","130.96","134.44","32,861,143"
"10/24/2022","129.49","135.51","128.35","135.22","34,008,818"
"10/17/2022","126.01","133","125.86","128.58","38,335,009"
"10/10/2022","123.37","127.02","122.18","125.08","31,694,326"
