"Date","Open","High","Low","Close","Volume"
"05/19/2025","336.3","354.9899","332.2","334.62","322,940,150"
"05/12/2025","321.99","351.62","311.5","349.98","580,594,870"
"05/05/2025","284.57","307.04","271","298.26","473,144,330"
"04/28/2025","288.98","294.86","270.78","287.21","603,713,170"
"04/21/2025","230.26","286.85","222.79","284.95","631,033,310"
"04/14/2025","258.36","261.8","233.89","241.37","375,513,000"
"04/07/2025","223.78","274.69","214.25","252.31","885,161,400"
"03/31/2025","249.31","284.99","236","239.43","810,687,300"
"03/24/2025","258.075","291.85","256.33","263.55","762,077,300"
"03/17/2025","245.055","249.52","222.28","248.71","567,128,970"
"03/10/2025","252.535","253.37","217.02","249.98","721,244,800"
"03/03/2025","300.34","303.94","250.73","262.67","537,122,080"
"02/24/2025","338.14","342.3973","273.6","292.98","527,844,620"
"02/17/2025","355.01","367.34","334.42","337.8","238,750,070"
"02/10/2025","356.21","362.7","325.1","355.84","459,159,800"
"02/03/2025","386.68","394","360.34","361.62","356,635,570"
"01/27/2025","394.8","419.99","384.41","404.6","356,730,940"
"01/20/2025","432.64","433.2","405.78","406.58","255,401,970"
"01/13/2025","383.21","439.74","380.07","426.5","396,847,550"
"01/06/2025","423.2","426.43","377.29","394.74","296,542,200"
"12/30/2024","419.4","427.93","373.04","410.44","346,900,160"
"12/23/2024","431","465.3299","415.4112","431.66","291,567,840"
"12/16/2024","441.09","488.5399","417.64","421.06","645,429,900"
"12/09/2024","397.61","436.3","378.01","436.23","474,962,740"
"12/02/2024","352.38","389.49","348.2","389.22","349,923,950"
"11/25/2024","360.14","361.93","326.59","345.16","253,250,820"
"11/18/2024","340.73","361.53","330.01","352.56","428,893,040"
"11/11/2024","346.3","358.64","309.22","320.72","726,819,600"
"11/04/2024","244.56","328.71","238.88","321.22","625,405,560"
"10/28/2024","270","273.536","246.63","248.98","366,288,980"
"10/21/2024","218.9","269.49","212.11","269.19","537,640,420"
"10/14/2024","220.13","224.26","213.74","220.7","299,317,180"
"10/07/2024","249","249.83","214.38","217.8","416,421,920"
"09/30/2024","259.04","264.86","237.81","250.08","429,710,450"
"09/23/2024","242.61","261.75","241.92","260.46","378,582,770"
"09/16/2024","229.3","244.24","223.53","238.25","401,668,510"
"09/09/2024","216.2","232.67","213.67","230.29","361,418,440"
"09/02/2024","215.26","235","209.64","210.73","388,897,990"
"08/26/2024","218.75","219.09","202.59","214.11","311,918,360"
"08/19/2024","217.07","228.22","210.32","220.32","381,622,050"
"08/12/2024","199.02","219.8","194.67","216.12","389,155,950"
"08/05/2024","185.22","203.8799","182","200","368,934,660"
"07/29/2024","224.9","234.68","205.78","207.67","464,001,130"
"07/22/2024","244.21","255.7594","214.71","219.8","576,337,150"
"07/15/2024","255.97","265.6","236.83","239.2","587,103,100"
"07/08/2024","247.71","271","233.0912","248.23","824,144,600"
"07/01/2024","201.02","252.37","200.85","251.52","661,802,000"
"06/24/2024","184.97","203.2","182.01","197.88","389,592,000"
"06/17/2024","177.92","188.81","177","183.01","297,690,990"
"06/10/2024","176.06","191.08","167.41","178.01","407,043,350"
"06/03/2024","178.13","182.6389","172.13","177.48","312,710,970"
"05/27/2024","176.4","182.67","173.16","178.08","259,618,630"
"05/20/2024","177.56","186.875","173.26","179.24","402,867,390"
"05/13/2024","170","180","169","177.46","370,347,380"
"05/06/2024","183.8","187.56","167.75","168.47","377,983,060"
"04/29/2024","188.42","198.87","176.02","181.19","628,370,800"
"04/22/2024","140.56","172.12","138.8025","168.29","649,063,900"
"04/15/2024","170.24","170.69","146.22","147.05","462,858,310"
"04/08/2024","169.34","179.22","167.79","171.05","451,427,070"
"04/01/2024","176.17","177.19","160.51","164.9","547,482,470"
"03/25/2024","168.76","184.25","168.73","175.79","346,873,700"
"03/18/2024","170.02","178.18","165.9","170.83","418,091,210"
"03/11/2024","175.445","182.87","160.51","163.57","502,780,240"
"03/04/2024","198.73","199.75","173.7","175.34","549,590,240"
"02/26/2024","192.29","205.6","192","202.64","488,348,760"
"02/19/2024","196.13","199.44","189.13","191.97","379,971,180"
"02/12/2024","192.11","203.17","182.1087","199.95","495,639,570"
"02/05/2024","184.26","194.12","175.01","193.57","536,015,990"
"01/29/2024","185.63","196.3593","182","187.91","540,672,780"
"01/22/2024","212.26","217.8","180.06","183.25","653,348,300"
"01/15/2024","215.1","223.49","207.56","212.19","429,375,100"
"01/08/2024","236.14","241.25","217.1501","218.89","502,418,140"
"01/01/2024","250.08","251.25","234.9001","237.49","420,855,040"
"12/25/2023","254.49","265.13","247.43","248.48","407,898,280"
"12/18/2023","253.78","259.84","247","252.54","551,215,190"
"12/11/2023","242.74","254.13","228.2","253.5","636,290,500"
