"Date","Open","High","Low","Close","Volume"
"05/19/2025","363.02","369.1499","358.08","358.3","16,488,833"
"05/12/2025","359.14","366.19","351.13","365.12","31,263,882"
"05/05/2025","347","355.33","345.7579","352.54","20,001,061"
"04/28/2025","336.775","350.09","333.24","347.6","32,432,771"
"04/21/2025","329","341.25","316.6542","335.17","33,212,122"
"04/14/2025","336.41","339.6099","328.44","329.61","20,904,755"
"04/07/2025","302.07","336.98","299","333.4","48,608,807"
"03/31/2025","339.35","351.86","312.12","313.13","45,101,225"
"03/24/2025","338.65","351.615","337.6509","342.85","28,736,269"
"03/17/2025","330.03","342.24","329.76","335.66","42,255,832"
"03/10/2025","339.94","345.01","326.3808","331.8","40,002,055"
"03/03/2025","363","366.54","339.14","345.32","41,269,673"
"02/24/2025","348.755","364","346","362.71","40,363,933"
"02/17/2025","353.69","357.15","347.48","348.53","22,595,453"
"02/10/2025","348.7","356.08","346.25","353.81","27,981,717"
"02/03/2025","340","350.7485","339.24","348.02","27,032,364"
"01/27/2025","330","351.2499","328.05","341.8","34,432,783"
"01/20/2025","320.31","331.085","320","330.2","20,304,659"
"01/13/2025","305","320.59","303.84","319.62","30,311,386"
"01/06/2025","315.01","315.39","305.99","307.71","23,347,833"
"12/30/2024","314.68","319.68","312.01","314.91","17,087,491"
"12/23/2024","315.65","321.54","313.35","318.66","17,013,972"
"12/16/2024","314.74","321.615","309.56","317.71","58,590,178"
"12/09/2024","311.83","316.95","306.64","314.74","22,548,031"
"12/02/2024","316.9","317.42","308.8","311.01","26,092,204"
"11/25/2024","311.86","316.37","309.49","315.08","30,318,491"
"11/18/2024","309.48","312.41","306.22","309.92","27,499,010"
"11/11/2024","310.09","312.44","306.66","309.64","22,859,320"
"11/04/2024","291.55","311.15","290.76","307.87","30,833,886"
"10/28/2024","282.04","296.34","281.35","290.74","34,869,099"
"10/21/2024","289.6","290.44","280.7801","281.73","26,443,565"
"10/14/2024","279.08","291.04","277.99","290.62","33,413,092"
"10/07/2024","277.6","278.8","273.24","277.84","21,636,396"
"09/30/2024","275","279.06","273.2","277.93","23,792,048"
"09/23/2024","284.9","288.88","268.23","275.17","47,929,147"
"09/16/2024","288.05","293.07","282.87","284.77","53,677,774"
"09/09/2024","282.09","288.74","278.3","287.35","31,679,054"
"09/02/2024","276.37","282.09","276.37","279.37","27,021,044"
"08/26/2024","267.72","276.99","267.67","276.37","28,522,520"
"08/19/2024","267.42","269.5","265.23","267.44","28,122,160"
"08/12/2024","260.5","268.44","258.74","267.38","59,836,402"
"08/05/2024","261.45","262.92","254.51","259.76","59,578,516"
"07/29/2024","260.32","267.96","258.58","266.58","33,939,959"
"07/22/2024","267.23","268.4","252.7","259.46","42,124,204"
"07/15/2024","265.67","273.62","264.31","265.46","32,430,531"
"07/08/2024","270.25","271.44","258.51","265.74","40,062,375"
"07/01/2024","263.79","270.545","261.3","270.36","29,657,772"
"06/24/2024","275.32","280.39","261.25","262.47","80,705,620"
"06/17/2024","269","278.04","269","275.22","40,920,179"
"06/10/2024","278.14","278.56","269.27","270.66","34,893,642"
"06/03/2024","273.09","280.335","268.06","278.67","23,774,144"
"05/27/2024","274.23","274.462","268.26","272.46","25,495,224"
"05/20/2024","279.22","280.27","273.0343","274.49","26,697,433"
"05/13/2024","281.46","282.38","274.265","280.1","66,862,411"
"05/06/2024","269.65","281.03","269.57","280.74","37,300,894"
"04/29/2024","272.32","274.47","266.5","268.49","25,617,676"
"04/22/2024","270.95","283","269.36","274.52","36,614,137"
"04/15/2024","277.89","277.91","268.29","269.78","40,582,735"
"04/08/2024","276.25","278","272.18","275.96","35,273,450"
"04/01/2024","280.36","280.89","273.56","277.14","24,943,740"
"03/25/2024","283.01","284.13","276.98","279.08","28,306,829"
