"Date","Open","High","Low","Close","Volume"
"05/19/2025","96.65","98.8183","95.81","96.43","51,393,520"
"05/12/2025","97.67","99.1946","91.89","98.24","149,923,020"
"05/05/2025","98.94","99.74","96.29","96.72","62,534,260"
"04/28/2025","95.1","99.22","94.34","98.75","76,472,040"
"04/21/2025","93.02","96.6","91.34","95.09","80,577,620"
"04/14/2025","93.27","96.03","90.61","93.22","93,237,160"
"04/07/2025","80.24","93.35","79.81","92.8","178,112,900"
"03/31/2025","84.76","90.145","82.65","83.19","140,955,650"
"03/24/2025","86.47","87.65","84.57","85.15","104,624,180"
"03/17/2025","85.13","87.985","84.78","85.98","113,687,250"
"03/10/2025","89.76","90.23","83.87","85.35","164,146,440"
"03/03/2025","97.98","99.49","90.76","91.72","117,109,780"
"02/24/2025","94.18","98.86","92.12","98.61","120,039,520"
"02/17/2025","103.72","104.2","94.115","94.78","127,221,020"
"02/10/2025","101.95","105.3","101.25","104.04","69,104,270"
"02/03/2025","96.77","103.11","96.47","101.15","77,151,600"
"01/27/2025","95.9","99","94.82","98.16","72,209,780"
"01/20/2025","92.48","95.01","92.31","94.76","67,986,720"
"01/13/2025","92.12","92.43","90.12","91.94","78,650,340"
"01/06/2025","90.83","93.575","90.45","93","57,352,390"
"12/30/2024","90.73","91.3","89.52","90.78","46,712,916"
"12/23/2024","91.5","92.875","88.91","91.66","57,579,777"
"12/16/2024","94.42","95.895","91.63","92.24","130,925,500"
"12/09/2024","95.66","95.94","93.04","94.25","79,572,140"
"12/02/2024","92.82","96.18","91.95","95.7","92,996,590"
"11/25/2024","90.5","92.64","89.06","92.5","67,135,690"
"11/18/2024","84.82","90.91","83.66","90.44","122,522,040"
"11/11/2024","84.95","85.79","83.942","84.25","69,207,310"
"11/04/2024","82.2","85.54","82","84.83","69,379,890"
"10/28/2024","82.75","83.08","81.22","82.19","54,662,213"
"10/21/2024","81.23","83.34","80.72","82.51","55,654,038"
"10/14/2024","80.05","81.8201","79.76","81.31","56,062,802"
"10/07/2024","80.69","80.94","78.98","80.1","64,858,074"
"09/30/2024","79.89","81.53","79.85","80.94","74,912,520"
"09/23/2024","79.07","81.6","79.07","79.78","69,922,360"
"09/16/2024","80.84","81.02","77.49","79.06","113,157,130"
"09/09/2024","76.85","80.685","76.49","80.6","87,344,220"
"09/02/2024","77.33","77.81","76.3","76.64","68,740,400"
"08/26/2024","75.9","77.475","75.57","77.23","65,967,009"
"08/19/2024","73.39","76.22","73.34","75.7","71,785,480"
"08/12/2024","68.34","74.44","67.14","73.45","136,311,370"
"08/05/2024","68.1","68.63","66.67","67.95","80,380,130"
"07/29/2024","69.85","70.235","67.74","68.46","86,600,730"
"07/22/2024","70.86","71.26","68.83","69.78","80,030,981"
"07/15/2024","69.3","71.33","69.3","70.75","55,890,024"
"07/08/2024","69.9","70.45","69.17","69.24","60,433,041"
"07/01/2024","67.89","70.15","67.25","70.04","45,976,153"
"06/24/2024","68.05","69.04","66.55","67.71","79,267,920"
"06/17/2024","66.92","68.55","66.4125","67.91","63,948,880"
"06/10/2024","67.19","67.33","65.898","67.02","70,526,380"
"06/03/2024","65.51","67.565","65.1603","65.88","74,811,360"
"05/27/2024","65.22","65.9","64.16","65.76","65,573,870"
"05/20/2024","64.42","65.69","63.87","65.38","75,030,480"
"05/13/2024","60.62","64.88","59.435","64.65","150,157,210"
"05/06/2024","60","60.845","59.39","60.48","63,562,410"
"04/29/2024","60.18","60.39","58.58","59.82","71,250,235"
"04/22/2024","59.56","60.53","58.555","60.16","81,711,240"
"04/15/2024","60.51","60.7","58.97","59.53","66,840,470"
"04/08/2024","59.6","60.89","59.3","60.14","59,451,770"
"04/01/2024","60.31","60.76","58.88","59.85","72,734,860"
"03/25/2024","60.87","61.05","60.16","60.17","59,823,480"
"03/18/2024","60.69","61.655","60.39","60.87","69,458,180"
"03/11/2024","60.1","61.565","59.87","60.68","114,233,210"
"03/04/2024","58.5","61.0699","58.4","60.12","76,747,840"
"02/26/2024","59.12","59.84","58.18","58.76","113,246,870"
"02/19/2024","59.4933","60.45","57.6","58.52","216,218,886"
"02/12/2024","56.41","57.31","55.8467","56.7867","91,176,264"
"02/05/2024","56.67","56.8867","56.0233","56.4267","79,175,119"
"01/29/2024","54.7833","56.8583","54.5067","56.5233","102,108,449"
"01/22/2024","54.2633","54.7933","53.44","54.7567","81,053,678"
"01/15/2024","53.8133","54.5233","53.5433","54.1267","69,226,165"
"01/08/2024","52.2333","53.9633","52.225","53.7733","92,109,476"
"01/01/2024","52.4167","53.4333","51.8667","52.2367","83,287,718"
"12/25/2023","52.2167","52.7767","52.0367","52.55","70,300,198"
"12/18/2023","51.1167","52.3833","51.0433","52.2167","112,194,242"
"12/11/2023","50.38","51.35","49.8467","50.9133","189,508,819"
