"Date","Open","High","Low","Close","Volume"
"05/19/2025","107.57","107.57","103.64","103.66","45,948,120"
"05/12/2025","110.27","110.51","105.97","108.19","72,137,160"
"05/05/2025","104.65","107.745","103.07","107.31","78,451,970"
"04/28/2025","108.75","109.2497","104.15","106.21","78,945,415"
"04/21/2025","105.61","109.3","104.12","108.57","65,404,593"
"04/14/2025","105.03","108.55","102.7205","106.92","62,708,320"
"04/07/2025","100.39","106.58","97.8","103.14","149,163,440"
"03/31/2025","117.79","119.905","103.83","104.34","98,738,350"
"03/24/2025","115.68","119.18","115.58","117.73","63,376,250"
"03/17/2025","111.8","116.47","111.73","115.5","110,556,070"
"03/10/2025","109.275","112.565","107.625","111.9","90,363,210"
"03/03/2025","111.7","112.1563","103.67","109.02","99,699,240"
"02/24/2025","110.925","112.13","108.52","111.33","72,211,680"
"02/17/2025","108.63","112.42","108.32","110.69","62,060,790"
"02/10/2025","110.005","112.51","106.52","108.24","74,292,930"
"02/03/2025","106.64","111.05","105.3225","108.89","66,286,310"
"01/27/2025","109.01","110.87","106.095","106.83","78,862,010"
"01/20/2025","112.05","112.175","108.41","108.66","64,096,970"
"01/13/2025","107.125","112.8651","107.125","112.32","72,450,770"
"01/06/2025","108.24","110.1","105.78","106.54","65,412,180"
"12/30/2024","106.3","109","105.51","107.86","50,391,870"
"12/23/2024","105.31","107.99","104.92","106.48","41,689,395"
"12/16/2024","110.2","110.4","104.84","105.87","115,631,340"
"12/09/2024","114.64","114.94","110.25","110.84","98,445,090"
"12/02/2024","118.05","118.72","113.5","113.57","75,886,740"
"11/25/2024","121.43","121.88","116.95","117.96","61,913,249"
"11/18/2024","119.79","123.21","118.2","121.79","65,187,860"
"11/11/2024","121","122.05","118.8","119.31","71,163,900"
"11/04/2024","116.07","121.91","115.93","121.11","71,230,250"
"10/28/2024","116.79","119.95","114.84","114.95","80,330,610"
"10/21/2024","120.98","121.48","119.125","119.49","48,319,654"
"10/14/2024","123.24","124.26","119.15","120.01","58,109,712"
"10/07/2024","125.25","126.34","120.8","123.61","60,215,939"
"09/30/2024","115.46","125.19","114.96","124.83","89,899,760"
"09/23/2024","115.33","118.16","111.14","115.82","74,719,070"
"09/16/2024","112.05","117.575","111.69","115.27","85,368,360"
"09/09/2024","112.87","116.15","107.77","111.15","88,089,400"
"09/02/2024","115.84","116.15","111.732","112.64","59,014,240"
"08/26/2024","117.76","119.41","116.26","117.94","58,444,111"
"08/19/2024","118.4","120.5","113.635","116.32","60,792,730"
"08/12/2024","119.55","120.1699","117.5","118.17","58,643,950"
"08/05/2024","115.54","119.31","113.25","118.85","71,337,160"
"07/29/2024","117.32","119.76","115.38","116.88","71,938,626"
"07/22/2024","115.18","118.03","113.065","117.33","66,516,970"
"07/15/2024","114.27","119.92","113.575","116.07","69,440,590"
"07/08/2024","112.39","114.15","110.42","113.27","59,853,560"
"07/01/2024","115.71","116.74","112.685","113.37","45,663,498"
"06/24/2024","111.64","116.54","111.64","115.12","89,630,760"
"06/17/2024","109.17","112.695","108.18","110.76","108,564,620"
"06/10/2024","113.06","114.2199","108.59","109.11","69,094,720"
"06/03/2024","116.3","116.36","110.92","112.75","80,308,390"
"05/27/2024","113.52","117.49","112.81","117.26","71,609,670"
"05/20/2024","119.73","119.89","113.035","113.42","72,118,270"
"05/13/2024","118.42","119.83","116.08","119.64","79,233,720"
"05/06/2024","116.67","118.66","115.41","117.96","111,692,510"
"04/29/2024","117.76","120.2","114.13","116","119,753,770"
"04/22/2024","119.26","121.76","116.22","117.96","85,702,170"
"04/15/2024","121.09","121.69","117.12","119.88","83,044,070"
"04/08/2024","121.08","123.75","119.67","120.37","88,170,930"
"04/01/2024","116.41","122.15","115.38","121.37","90,428,900"
"03/25/2024","113.83","116.45","113.41","116.24","58,061,750"
"03/18/2024","111.79","113.91","111.1","113.49","77,348,870"
"03/11/2024","108.25","112.3","107.34","111.27","110,042,190"
"03/04/2024","105.66","108.4","104.03","108.38","90,040,370"
"02/26/2024","103.72","106.39","103.05","105.84","80,557,460"
"02/19/2024","103.84","105.41","102.645","103.84","75,095,760"
"02/12/2024","102.16","104.63","100.42","103.73","98,089,480"
"02/05/2024","101.45","104.84","100.5","101.77","84,418,420"
"01/29/2024","102.98","104.88","101.611","101.97","101,557,870"
"01/22/2024","96.7","103.08","95.77","103","96,056,780"
"01/15/2024","99.82","100.01","95.82","96.95","79,648,430"
"01/08/2024","100.73","101.29","98.16","99.95","94,947,910"
"01/01/2024","100.92","104.57","100.85","102.63","82,196,370"
"12/25/2023","102.74","103.03","99.62","99.98","65,469,630"
"12/18/2023","102.13","103.94","100.805","101.91","93,682,710"
"12/11/2023","99.8","102.135","97.48","100.9","149,944,320"
"12/04/2023","102.13","103.36","98.09","99.55","126,994,660"
"11/27/2023","104.1","104.91","101.64","102.99","112,545,090"
"11/20/2023","105.38","105.88","101.94","104.57","60,007,008"
"11/13/2023","104.05","105.43","101.15","104.96","99,167,350"
"11/06/2023","108.17","108.27","102.855","103.75","94,765,710"
"10/30/2023","105.74","109.19","104.54","107.78","126,318,180"
"10/23/2023","110.63","110.96","104.96","105.55","98,878,690"
"10/16/2023","110.5","113.965","109.13","111.08","105,025,470"
"10/09/2023","110.44","112.07","104.83","109.87","155,674,150"
"10/02/2023","117.53","117.79","105.11","107.17","92,810,540"
"09/25/2023","115.09","120.7","114.83","117.58","82,719,290"
"09/18/2023","117.53","118.84","114.6","114.94","66,108,090"
"09/11/2023","116.18","118.66","113.565","116.7","97,781,210"
"09/04/2023","114.1","116.05","113.23","115.61","59,164,570"
"08/28/2023","108.45","113.82","108.42","113.52","64,292,500"
"08/21/2023","110.36","110.9793","105.72","108.25","57,446,550"
"08/14/2023","111.68","111.98","106.275","110.04","74,511,570"
"08/07/2023","107.9","112.07","104.835","111.83","76,280,210"
"07/31/2023","105.19","109.24","104.57","107.42","82,465,790"
"07/24/2023","104.36","106.99","102.32","104.16","79,616,130"
"07/17/2023","100.72","104.38","100.22","103.89","91,091,880"
"07/10/2023","102.97","107.65","100.53","100.94","95,705,700"
"07/03/2023","107.49","108.46","101.56","103.16","59,782,242"
"06/26/2023","102.2","107.875","102.2","107.25","65,504,060"
"06/19/2023","104.68","104.77","101.62","102.4","61,197,530"
"06/12/2023","105.81","108.34","104.39","105.13","103,629,610"
"06/05/2023","107.19","109.14","103.98","107.39","64,635,310"
"05/29/2023","103.29","106.13","101.26","105.76","64,528,130"
"05/22/2023","105.84","108.51","104.71","104.97","70,303,520"
"05/15/2023","105.51","107.05","102.02","106.26","67,945,760"
"05/08/2023","110.5","110.97","104.775","105.78","67,222,460"
"05/01/2023","115.99","117.3","105.91","108.68","90,036,780"
"04/24/2023","115.92","119.92","114.68","118.34","84,238,370"
"04/17/2023","115.49","117.21","113.2298","116.01","72,733,180"
"04/10/2023","114.78","116.66","114.13","116.05","59,614,510"
"04/03/2023","113.39","117.18","113.12","115.05","76,710,600"
"03/27/2023","104.74","110.17","103.91","109.66","66,068,750"
"03/20/2023","99.63","107.28","99.5","103.53","106,378,770"
"03/13/2023","105.34","109.01","98.02","99.84","135,418,520"
"03/06/2023","111.99","113.84","107.15","107.78","68,139,430"
"02/27/2023","110.8","113.37","109.22","112.81","66,367,230"
"02/20/2023","110.81","112.38","108.64","110.75","54,083,710"
"02/13/2023","117.72","118.18","110.9799","111.28","72,407,520"
"02/06/2023","112.36","119.63","110.32","119.17","90,686,130"
"01/30/2023","115.09","117.38","109.83","111.92","110,787,500"
"01/23/2023","113.64","117.78","99.23","115.61","78,281,070"
"01/16/2023","113.41","114.12","109.58","113.35","62,385,520"
"01/09/2023","111.64","113.74","107.81","113.15","77,148,240"
